"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"0610007C21Rik",32.1066329553121,1.07873526493315,0.706210049974483,1.52749916964808,0.126636933541671,NA
"0610007L01Rik",73.911814916914,-0.409122911304796,0.461036829669636,-0.887397459326536,0.374864950886327,0.767687499221969
"0610007P08Rik",41.283785407015,0.48708730545841,0.612019725892142,0.795868637646249,0.426108391853003,NA
"0610007P14Rik",22.977954318534,0.273445845828513,0.776407000572239,0.352193946766289,0.72469281627969,NA
"0610007P22Rik",15.7369909958585,-0.0394243337698451,0.923825312010356,-0.0426750958837152,0.965960532084893,NA
"0610009B22Rik",6.51677828905663,0.717049178777196,1.48572957277015,0.482624289048952,0.629362529723703,NA
"0610009D07Rik",85.6620323323553,0.37141023720356,0.434319268517203,0.855154869070352,0.392465417134624,0.7830904340094
"0610009L18Rik",6.32614843709966,0.0165008834900916,1.41736622867402,0.0116419335781188,0.990711290764209,NA
"0610009O20Rik",24.8217278140306,0.158732869990046,0.759666247691516,0.208950799739234,0.834486646864063,NA
"0610010F05Rik",24.8344114478619,0.0869231600512894,0.791535428347464,0.109815880551,0.912555396360387,NA
"0610010K14Rik",10.2574839091599,-0.441039126292575,1.16129011666329,-0.379783759427665,0.704105938800155,NA
"0610010O12Rik",2.00936705713582,0.432814689112019,2.44650851504087,0.176911172166833,0.859578162922125,NA
"0610011F06Rik",13.0265808860845,0.513040509016636,1.04098363068317,0.492842052357674,0.622124194665202,NA
"0610011L14Rik",34.906450129235,0.423317526645673,0.637291221313949,0.664245030353453,0.506533496930299,NA
"0610012H03Rik",0.708312599169197,-1.03503711722554,4.55070186910108,-0.227445600041031,0.820077265556065,NA
"0610030E20Rik",51.7557080644737,0.455542537713925,0.542228965233391,0.840129478361316,0.40083579355438,0.788835061505036
"0610031J06Rik",51.6291432439143,-0.325635006608248,0.542113334735878,-0.60067699084897,0.548055147141998,0.874786848963201
"0610037L13Rik",36.2657829597749,-0.00825706772574066,0.631232394302512,-0.0130808681561161,0.989563274893646,NA
"0610037P05Rik",94.8385081592244,-0.548678998741579,0.413782172588465,-1.32600927514409,0.184836625154377,0.551392967943551
"0610039K10Rik",89.5079285352282,-0.518147728122298,0.431373619843411,-1.20115766075447,0.229690049542091,0.617853067085083
"0610040J01Rik",4.66108808316069,-1.65269034283615,1.70775780977702,-0.967754521966989,0.333166981457287,NA
"0910001L09Rik",41.8940001550967,0.271390615201296,0.63949581226833,0.424382161688687,0.671287127931876,NA
"1100001G20Rik",26.2038699209426,0.789231012520736,0.736620306728762,1.07142174239753,0.283979840946515,NA
"1110001A16Rik",6.77363610133929,-0.381298846447137,1.37511880600345,-0.277284293387941,0.781561818968503,NA
"1110001J03Rik",8.82493602766905,-0.070035943799112,1.23648313782603,-0.0566412445561112,0.954830978860211,NA
"1110002B05Rik",45.1773610880107,0.104631385271441,0.57664572883724,0.181448296655941,0.85601571271875,NA
"1110002E22Rik",1.64008743818426,4.0345210513982,3.23272501583957,1.24802481857567,0.212021968479065,NA
"1110002L01Rik",4.20003300498424,0.208982954998664,1.73836856858148,0.120217863332167,0.904310567506651,NA
"1110002N22Rik",7.18184002010298,0.16956805311402,1.36156542391395,0.124539041705818,0.900888490170521,NA
"1110003E01Rik",530.640798646296,-0.315399546933903,0.254444992515814,-1.23955886816794,0.215138602220637,0.598999711252928
"1110003O08Rik",6.98240354134332,0.287342885695372,1.35783277445934,0.211618758289133,0.832404473756339,NA
"1110004E09Rik",8.12713202435205,0.87588182732484,1.30585735138425,0.670733159633691,0.502390534596439,NA
"1110004F10Rik",88.9088009100052,-0.67791487120705,0.447103977868384,-1.51623538318554,0.129459844035654,0.449711786616449
"1110005A03Rik",43.3112135517746,0.408367142516203,0.588522830073369,0.693884963588061,0.487754354013106,NA
"1110006G14Rik",0,NA,NA,NA,NA,NA
"1110007C09Rik",61.004491165206,-0.513751173613201,0.500919529774959,-1.0256161779997,0.305072538713232,0.70605758649862
"1110008E08Rik",0.692530280337789,2.79196518342264,4.51618659237775,0.618212982637788,0.536434953218845,NA
"1110008F13Rik",39.557836406891,-0.096344971766007,0.62777313452291,-0.153471001652892,0.878026856707537,NA
"1110008J03Rik",2.36866241467686,0.38954427416618,2.26613880982719,0.171897799233175,0.86351787679065,NA
"1110008L16Rik",7.88356089736408,1.11565744794746,1.32641460681249,0.841107631216831,0.400287640354262,NA
"1110008P14Rik",21.3883627705468,-0.61352119202346,0.79986194452034,-0.767033856563054,0.44306138607423,NA
"1110012D08Rik",3.91358185413381,1.60165509453553,1.97846536019611,0.809544168302634,0.418202207809548,NA
"1110012J17Rik",2.36771526000835,3.01548824025864,2.92467212288788,1.03105172599008,0.302516563851718,NA
"1110012L19Rik",10.6291187973271,-0.534226765670335,1.11956791889104,-0.477172270351853,0.633239455282841,NA
"1110014N23Rik",39.6866047337484,0.472616202973003,0.630739322665385,0.749305118596088,0.453673323397695,NA
"1110017D15Rik",0.473778578923235,2.24076366602994,4.88854225697214,0.458370521975976,0.646686266122411,NA
"1110017F19Rik",0.946379523238642,1.43687510588055,4.04049746819859,0.355618365607136,0.72212638786083,NA
"1110018G07Rik",360.02185852873,-0.700343031241916,0.262707523548005,-2.66586590967556,0.00767903146403535,0.0584648383736732
"1110018J18Rik",72.5882049871822,0.307728436371713,0.469156514430727,0.655918498211861,0.511876565409031,0.859018489784434
"1110020G09Rik",1688.6657386891,-1.08103582154751,0.206674796513211,-5.23061272968717,1.68949112499463e-07,9.377584072282e-06
"1110021J02Rik",22.6730717251341,0.280037589099365,0.801801960054764,0.349260294998828,0.726893903788077,NA
"1110021L09Rik",1.1300336831669,3.50058453844374,3.67000769465839,0.953835749047274,0.340166790571507,NA
"1110025L11Rik",0,NA,NA,NA,NA,NA
"1110028C15Rik",194.344311970417,-0.19010767039661,0.319683427168687,-0.594674775856602,0.55206088588301,0.876151653947504
"1110031I02Rik",3.47028039388381,0.996169716227413,1.9463192015057,0.511822375002395,0.608775329293199,NA
"1110032A03Rik",138.313858109177,-0.641705049516707,0.373414729584429,-1.71847813885343,0.0857094385756569,0.344305153251005
"1110032A04Rik",0.709490233777025,0.853022630129482,4.53882153799383,0.187939231139394,0.850924288660729,NA
"1110032F04Rik",1.57186365430671,-0.271910513747539,2.96192999298743,-0.0918018030106403,0.926855511518113,NA
"1110034A24Rik",12.5889371189344,0.413304018974157,1.04537135240724,0.395365740626443,0.692572988840745,NA
"1110034B05Rik",8.3674641020189,0.728923287426567,1.25256815758602,0.581943012850786,0.560605066729819,NA
"1110034G24Rik",61.8608350315663,-1.3053015977855,0.516068984911557,-2.52931611073121,0.0114285043975127,0.0778039539805485
"1110037F02Rik",154.544541341901,0.248052080487179,0.343372233035623,0.722399939838598,0.47004862388813,0.833747945657597
"1110038D17Rik",252.885728247054,-0.417304108856042,0.292874630176801,-1.42485577738204,0.154198895093078,0.49686310641103
"1110038F14Rik",14.9352123670115,0.845854274248511,0.954754431123858,0.885939092477258,0.375650349050644,NA
"1110049F12Rik",257.677118159442,-1.01007854038428,0.292147220271289,-3.45742991990927,0.000545354063892683,0.00752705261447601
"1110051M20Rik",7.83252754686508,1.0440520317861,1.3247592244353,0.788107010337022,0.430634114982583,NA
"1110054O05Rik",47.1243668100621,0.811649988735066,0.559377886596773,1.45098690560169,0.146783506470169,NA
"1110057K04Rik",53.2083910848272,0.388117370477583,0.528355574613307,0.734576086874143,0.46259770599196,0.830006728651546
"1110057P08Rik",0,NA,NA,NA,NA,NA
"1110058L19Rik",11.698941658932,-0.320936258581691,1.06195207099877,-0.302213506001124,0.762489309034873,NA
"1110059E24Rik",41.3345494274684,1.00983687224261,0.642355953060641,1.57208299764488,0.115931304054055,NA
"1110059G10Rik",16.2573228667887,0.104789490272582,0.904543010205775,0.115847990742578,0.907773015425221,NA
"1110059M19Rik",0.236889289461617,1.22974216149937,4.99055234433742,0.246414039298617,0.805361739453357,NA
"1110065P20Rik",4.27140572256466,-0.0768539169049348,1.71632074116175,-0.0447782952578629,0.964284025611273,NA
"1110067D22Rik",451.658915949847,-0.864919980570851,0.330995201215126,-2.61308918496588,0.00897278842260185,0.0660735147467486
"1190002H23Rik",9.64142085495447,0.880386677070652,1.22728656660617,0.717344018117296,0.473161852963789,NA
"1190002N15Rik",42.7068510536786,-0.277799355152195,0.6044973436538,-0.459554302543458,0.645836166266538,NA
