"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"0610007C21Rik",42.3477004762579,0.888697692703144,0.498305431363762,1.78343970739182,0.0745147543897636,0.220339668664983
"0610007L01Rik",108.99517356467,-0.111195015130507,0.344425777990153,-0.322841733215699,0.74681510535123,0.878678796169658
"0610007P08Rik",62.8148014790848,0.671662088484206,0.488640543694116,1.37455251544714,0.169270218575431,0.378147834580591
"0610007P14Rik",30.638864373915,0.212772364171542,0.537485942153708,0.395865914779022,0.69220394736433,0.847256394214655
"0610007P22Rik",17.8592385059061,-0.509018499369772,0.664661002497683,-0.765831751008359,0.443776419240693,0.673986953180315
"0610009B22Rik",7.67929396166285,0.305273122506918,1.07763524765216,0.283280565638528,0.776961773760189,0.893371273182221
"0610009D07Rik",118.320745699767,0.355625107576342,0.43848874021801,0.811024491528633,0.417351606087607,0.650134192120993
"0610009L18Rik",5.3591555308485,-1.30928840300662,1.35584998391729,-0.965658751732883,0.334214966081066,0.570817006342785
"0610009O20Rik",37.7248195882355,0.37693223801742,0.525694899394951,0.717017110973019,0.473363538721704,0.695788543255233
"0610010F05Rik",29.2354559410072,-0.282198467632924,0.578126165043468,-0.488126095472095,0.625460528235872,0.806615145074565
"0610010K14Rik",20.0859325385188,0.515235853436877,0.678122217287173,0.759797924772435,0.44737538356892,0.676636136736472
"0610010O12Rik",2.54556187611448,0.199081558233999,1.63031597274962,0.122112254042532,0.902810117186844,NA
"0610011F06Rik",19.6815168477089,0.652946900618009,0.690472513247122,0.945652271583356,0.344325973774177,0.580874948348055
"0610011L14Rik",49.3431574502215,0.465523544571079,0.464343947034784,1.00254035299443,0.316082687284304,0.551978934488254
"0610012H03Rik",0.510006441331045,-3.19535228229533,4.46353716339507,-0.715878946522509,0.47406609945091,NA
"0610030E20Rik",84.0365921978232,0.77424484671047,0.412830060786068,1.87545656252898,0.0607299399375335,0.191612479734758
"0610031J06Rik",75.2510261002258,-0.076048034499936,0.402294575114705,-0.189035694747444,0.850064840753024,0.931777331956338
"0610037L13Rik",45.6840848922593,-0.178616602899853,0.469331559751085,-0.380576586399994,0.703517457502179,0.852818983012603
"0610037P05Rik",103.109679763801,-1.13410587812145,0.38195849090465,-2.96918619464481,0.0029858961139237,0.0189106753881834
"0610039K10Rik",99.0471171390248,-1.01055199492077,0.673467159879442,-1.50052156233077,0.133479352380391,0.324050817201757
"0610040J01Rik",6.832785635274,-1.0284956383106,1.10167196861702,-0.933577024385693,0.35052212149495,0.586625104885331
"0910001L09Rik",65.5179549767878,0.532440457758451,0.519457218066154,1.02499385751271,0.305366085979822,0.542148736823948
"1100001G20Rik",23.3087357043145,-0.313328310855999,0.772859770675476,-0.405414180870291,0.685173088910403,0.842007523613218
"1110001A16Rik",14.4037395169075,0.74012554764628,0.789009852650847,0.938043479634215,0.348222066082687,0.585383419788443
"1110001J03Rik",15.9892519938073,0.596898173935857,0.756066403632837,0.78947850488768,0.429832388145576,0.660537955184102
"1110002B05Rik",60.7944625581012,0.0861681036696993,0.489696493289283,0.175962264076897,0.860323588721423,0.938022591811976
"1110002E22Rik",0.362162458279666,1.21410816411589,4.47690179485845,0.271193834430374,0.78624195477181,NA
"1110002L01Rik",7.803474620698,0.88313166557603,1.0122138533322,0.872475379257824,0.382949093994731,0.617502981732756
"1110002N22Rik",8.12448765350048,-0.322189096928906,0.956137651339771,-0.336969364690789,0.736139994327218,0.872301713267702
