"","FileName","SampleName","Group","GroupPriority"
"1","Blood_Young_rep1_trimed.txt","Blood_Young_rep1","Blood_Young",1
"2","Blood_Young_rep2_trimed.txt","Blood_Young_rep2","Blood_Young",1
"3","Blood_Young_rep3_trimed.txt","Blood_Young_rep3","Blood_Young",1
"4","Blood_LTDR_rep2_trimed.txt","Blood_LTDR_rep2","Blood_LTDR",3
"5","Blood_LTDR_rep3_trimed.txt","Blood_LTDR_rep3","Blood_LTDR",3
"6","Blood_LTAL_rep2_trimed.txt","Blood_LTAL_rep2","Blood_LTAL",2
"7","Blood_LTAL_rep3_trimed.txt","Blood_LTAL_rep3","Blood_LTAL",2
"8","Blood_STDR_rep1_trimed.txt","Blood_STDR_rep1","Blood_STDR",4
"9","Blood_STDR_rep2_trimed.txt","Blood_STDR_rep2","Blood_STDR",4
"10","Blood_STDR_rep3_trimed.txt","Blood_STDR_rep3","Blood_STDR",4
