"","Brain_Young_rep1","Brain_Young_rep2","Brain_Young_rep3","Brain_LTDR_rep1","Brain_LTDR_rep3","Brain_LTAL_rep1","Brain_LTAL_rep2","Brain_STDR_rep2","Brain_STDR_rep3"
"0610007C21Rik",789.343036124522,759.015798450611,749.633100996618,821.629348030826,810.578874982144,915.552004466968,864.049274282563,924.20819219362,1055.96499724373
"0610007L01Rik",700.443366297601,740.359523973817,741.504549299064,795.073257448047,723.385131458169,697.020926477681,734.872472479522,717.311585532094,585.085431085126
"0610007P08Rik",468.874065054893,452.660133357997,485.906757031543,528.707621602598,537.156518746468,490.918156241338,568.37792793338,518.816871526873,411.141113735494
"0610007P14Rik",496.834445081103,677.517336262512,610.544549727366,605.156973280295,652.33837747567,840.982157949297,840.127644319037,571.328700628784,544.674125034201
"0610007P22Rik",230.135435600338,257.260205943157,221.277240655628,249.46630547459,250.816570877609,254.780308935378,264.094794797328,261.508908927513,339.103568166454
"0610009B22Rik",249.492621772329,307.337574275603,299.853240398647,349.252827664426,339.086780371017,312.779078449123,305.239998334593,333.975233088149,402.356047202684
"0610009D07Rik",719.800552469592,732.504250509904,784.85682501935,918.196950150022,848.255183912258,929.016004532659,929.116107783354,1025.03090406929,1250.9934742721
"0610009L18Rik",35.8466410592426,25.5296387577178,23.4824826818218,24.946630547459,22.6057853580678,28.9993847568723,27.7490907576903,28.3563877150315,22.8411729853052
"0610009O20Rik",494.683646617548,489.972682311585,451.586205419649,514.222481284719,468.262696702832,517.84615637272,587.515231904201,546.123022659867,646.580896814794
"0610010F05Rik",1222.37046012017,1407.07585922345,1362.8871679565,1331.82817922725,1290.68269734873,1057.44185131309,1012.36338005642,1146.85834758572,975.142385141876
"0610010K14Rik",118.293915495501,107.028100945817,91.2204134947692,111.052742437075,131.328848270679,124.283077529453,137.78858858991,109.224604531973,166.916264123384
"0610010O12Rik",501.136042008212,553.796779205879,507.582894891686,644.588744145634,586.67395334033,807.840003941443,826.731531539462,849.641394868908,1184.22696862275
"0610011F06Rik",267.41594230195,327.957667118375,249.275585391646,312.235246852067,316.480995012949,347.992617082468,360.738179849974,370.733513459486,491.963725837343
"0610011L14Rik",940.615861394526,921.030813643821,924.848548699442,933.486820485562,941.907723252824,933.158773783641,864.049274282563,879.048019165978,920.674972638456
"0610012H03Rik",0,5.89145509793489,0,0.804730017659967,2.1529319388636,0,0,1.05023658203821,7.02805322624775
"0610030E20Rik",177.082406832658,171.834107023101,166.183723594431,186.697364097112,171.158089139656,193.674462483397,199.984826495078,166.987616544075,115.962878233088
"0610031J06Rik",344.127754168729,325.993848752397,317.916688615433,424.092719306803,415.515864200674,373.884924901104,517.664072410705,454.752440022543,500.748792370153
"0610037L13Rik",564.943063093663,621.548512832131,556.354205077008,542.388031902818,525.315393082718,643.164926214918,565.507332337757,550.323968988019,636.038816975422
"0610037P05Rik",857.451654137083,870.953445311374,876.07723851412,744.37526633547,751.373246663396,861.696004204206,717.648898905783,771.923887798081,932.974065784389
"0610039K10Rik",7.88626103303337,3.92763673195659,9.03172410839299,8.85203019425964,9.68819372488619,5.1784615637272,7.65492158832835,14.7033121485349,7.02805322624775
"0610040J01Rik",42.2990364499063,52.0411866984248,55.9966894720365,35.4081207770385,43.058638777272,82.8553850196352,93.7727894570223,40.95922669949,33.3832528246768
"0910001L09Rik",437.32902092276,417.311402770388,454.295722652167,398.341358741684,420.898194047833,457.776002233484,429.632474144929,550.323968988019,917.160946025332
"1100001G20Rik",1.4338656423697,243.513477381309,0,1.60946003531993,0,3.10707693823632,4.78432599270522,15.7535487305731,0
"1110001A16Rik",200.741189931759,215.038111074623,218.56772342311,259.927795704169,224.981387611246,263.065847437342,233.475108444015,242.604650450825,342.617594779578
"1110001J03Rik",296.093255149344,297.518482445712,230.308964764021,330.744037258246,298.181073532608,352.135386333449,309.067459128757,369.683276877448,455.066446399542
"1110002B05Rik",396.463850115223,434.985768064192,367.591171211595,502.151531019819,503.786073694082,461.918771484466,611.436861867727,452.651966858466,346.131621392702
"1110002E22Rik",73.1271477608549,37.3125489535876,47.8681377744828,8.85203019425964,12.9175916331816,9.32123081470895,10.5255171839515,4.20094632815282,1.75701330656194
"1110002L01Rik",72.4102149396701,57.9326417963597,55.0935170611972,37.8223108300185,55.9762304104535,49.7132310117811,55.4981815153805,38.8587535354136,29.869226211553
"1110002N22Rik",97.5028636811399,117.829101958698,106.574344479037,126.342612772615,122.717120515225,113.926154401998,130.133667001582,117.626497188279,117.71989153965
"1110003E01Rik",2114.23488967413,2126.81529035449,2234.44854441642,2225.07849882981,2163.69659855792,2160.45416438699,2327.09616285182,2043.76038864635,1880.00423802127
"1110003O08Rik",350.580149559393,308.319483458592,329.657929956344,214.058184697551,219.599057764087,178.139077792216,144.486644979698,294.066242970697,284.636155663034
"1110004E09Rik",382.842126512711,309.301392641582,337.786481653898,310.625786816747,353.08083797363,318.993232325595,296.628211547724,288.815060060506,430.468260107675
"1110004F10Rik",923.40947368609,869.971536128385,885.108962622513,869.913149090424,782.590759776918,956.979696976786,795.154979987607,757.220575649546,850.394440375978
"1110005A03Rik",212.212115070716,212.092383525656,208.632826903878,189.916284167752,165.775759292497,191.603077857906,201.89855689216,135.480519082928,186.243410495566
"1110006G14Rik",1.4338656423697,2.94572754896744,0,1.60946003531993,2.1529319388636,1.03569231274544,1.91373039708209,4.20094632815282,1.75701330656194
"1110007C09Rik",57.3546256947882,45.1678224175008,30.7078619685362,92.5439520308962,74.2761518907941,64.2129233902172,88.9884634643171,111.32507769605,145.832104444641
"1110008E08Rik",0,0,0.903172410839299,0,0,0,0.956865198541044,1.05023658203821,0
"1110008F13Rik",271.000606407874,333.84912221631,307.078619685362,308.211596763767,292.798743685449,280.672616754014,313.851785121462,289.865296642545,293.421222195844
"1110008J03Rik",276.736068977353,271.006934505005,289.918343879415,234.98116515671,212.063795978064,275.494155190287,192.32990490675,270.961038165857,384.785914137065
"1110008L16Rik",137.651101667492,98.1909182989148,112.896551354912,115.881122543035,102.264267096021,111.854769776507,107.168902236597,108.174367949935,138.804051218393
"1110008P14Rik",1107.6612087306,991.728274819039,1096.45130675891,560.896822308997,679.250026711465,408.062771221703,385.616675012041,682.653778324833,1298.43283354927
"1110012D08Rik",71.6932821184852,74.6250979071752,71.3506204563046,94.1534120662161,87.1937435239757,131.532923718671,151.184701369485,130.229336172737,119.476904846212
"1110012J17Rik",1361.45542743003,1623.09587948106,1833.43999400378,1211.11867657825,1251.92992244918,1664.35754658192,1873.54205874336,1162.61189631629,1078.80617022903
"1110012L19Rik",163.460683230146,205.219019244732,186.956689043735,237.39535520969,209.910864039201,246.494770433415,203.812287289242,214.248262735794,302.206288728653
"1110014N23Rik",798.663162799925,677.517336262512,701.764963222135,580.210342732836,607.126806759535,699.092311103172,583.687771110037,641.694551625343,699.291296011652
"1110017D15Rik",31.5450441321335,26.511547940707,12.6444137517502,53.1121811655578,31.2175131135222,28.9993847568723,25.8353603606082,17.8540218946495,36.8972794378007
"1110017F19Rik",2.15079846355456,3.92763673195659,2.7095172325179,4.8283801059598,2.1529319388636,4.14276925098176,3.82746079416418,4.20094632815282,3.51402661312388
"1110018G07Rik",2718.60925793296,2333.9981279652,3371.5426096631,1533.01068364224,1828.91568206463,1559.75262299463,1672.60036704974,1501.83831231463,1553.19976300075
"1110018J18Rik",292.50859104342,376.071217084844,326.045240312987,412.021769041903,437.04518358931,504.382156307029,559.766141146511,358.130674475028,333.832528246768
"1110020G09Rik",1059.62670971121,1218.54929608953,1091.93544470471,1687.51884703295,1615.77542011713,1359.86400663476,1451.56450618676,1562.75203407285,1426.69480492829
"1110021J02Rik",102.521393429434,133.539648886524,132.766344393377,152.898703355394,136.711178117838,186.424616294179,170.322005340306,139.681465411081,119.476904846212
"1110021L09Rik",186.402533508062,179.689380487014,194.182068330449,94.1534120662161,172.234555109088,157.425231537307,161.710218553436,117.626497188279,112.448851619964
"1110025L11Rik",0,0,0,0,0,0,0,0,0
"1110028C15Rik",864.620982348932,1085.991556386,985.361100225675,1217.55651671953,1081.84829927896,1374.3636990132,1448.69391059114,1343.25258842686,1159.62878233088
"1110031I02Rik",60.2223569795276,75.6070070901644,48.7713101853221,113.466932490055,108.723062912612,91.1409235215987,95.6865198541044,116.576260606241,119.476904846212
"1110032A03Rik",395.746917294038,418.293311953377,349.527722994809,453.867729960221,448.88630925306,395.634463468758,364.565640644138,468.405515589039,753.758708515072
"1110032A04Rik",76.7118118667792,104.08237339685,73.1569652779832,136.804103002194,105.493665004316,96.3193850853259,101.427711045351,108.174367949935,107.177811700278
"1110032F04Rik",207.193585322422,195.39992741484,184.247171811217,45.8696110066181,72.1232199519305,46.6061540735448,18.1804387722798,39.9089901174518,22.8411729853052
"1110034A24Rik",125.463243707349,99.1728274819039,118.315585819948,127.147342790275,109.799528882043,151.211077660834,124.392475810336,130.229336172737,115.962878233088
"1110034B05Rik",189.987197613986,223.875293721526,242.050206104932,193.939934256052,177.616884956247,224.74523186576,191.373039708209,154.384777559616,198.542503641499
"1110034G24Rik",131.198706276828,134.521558069513,137.282206447573,132.780452913895,149.62876975102,176.067693166725,165.537679347601,152.28430439554,159.888210897136
"1110037F02Rik",1266.10336221245,1290.22866644774,1502.87889163659,1126.62202472395,1220.71240933566,1114.40492851409,1232.44237572086,975.669784713493,945.273158930323
"1110038D17Rik",262.397412553656,348.577759961147,279.983447360183,294.531186463548,277.728220113404,273.422770564796,275.577177179821,285.664350314392,284.636155663034
"1110038F14Rik",162.026817587777,109.973828494785,151.732965021002,127.952072807935,123.793586484657,144.996923784362,147.357240575321,159.635960469807,179.215357269318
"1110049F12Rik",1041.70338918159,1124.28601452257,1086.51641023968,1148.34973520077,1130.28926790339,1092.65538994644,765.492158832835,1138.45645492941,1242.20840773929
"1110051M20Rik",1180.78835649145,1084.02773802002,1129.86868595996,1106.50377428245,1035.56026259339,1178.61785190431,917.633725400861,1310.69525438368,1667.40562792728
"1110054O05Rik",368.503470089014,395.709400744627,408.233929699363,321.892007063987,361.692565729084,369.742155650122,338.73028028353,333.975233088149,307.477328648339
"1110057K04Rik",583.58331644447,559.688234303814,608.738204905687,606.766433315615,603.897408851239,536.488618002138,571.248523529003,596.534378597701,674.693109719785
"1110057P08Rik",0,0,0,0,0,0,0,0,0
"1110058L19Rik",337.675358778065,329.921485484354,325.142067902147,380.637298353164,373.533691392834,278.601232128523,306.196863533134,359.180911057066,516.56191212921
"1110059E24Rik",374.238932658493,447.750587443051,404.621240056006,558.482632256017,491.944948030332,544.774156504101,498.526768439884,503.0633227963,555.216204873573
"1110059G10Rik",201.458122752943,197.363745780819,213.148688958074,161.750733549653,176.540418986815,159.496616162798,199.984826495078,144.932648321272,168.673277429946
"1110059M19Rik",50.1852974829397,39.2763673195659,7.22537928671439,158.531813479013,81.8114136768167,13.4640000656907,50.7138555226753,5.25118291019103,8.78506653280969
"1110065P20Rik",257.378882805362,183.617017218971,198.697930384646,181.868983991153,157.164031537043,164.675077726525,152.141566568026,248.906069943055,346.131621392702
"1110067D22Rik",1697.69692056573,2032.55200878754,2068.26482082199,1450.92822184092,1743.87487047951,1815.56862424276,1729.05541376367,1431.47246131807,1106.91838313402
"1190002H23Rik",286.773128473941,257.260205943157,233.921654407378,181.064253973493,180.846282864542,170.889231602997,139.702318986992,147.033121485349,309.234341954901
"1190002N15Rik",891.864429553956,1234.25984301736,878.786755746637,1158.81122543035,1180.88316846668,1849.74647056335,2088.8367284151,883.248965494131,419.926180268303
"1190003J15Rik",9.32012667540308,87.3899172860341,8.12855169755369,2.4141900529799,3.2293979082954,5.1784615637272,11.4823823824925,4.20094632815282,7.02805322624775
"1190005F20Rik",316.16737414252,410.438038489464,393.783171125934,412.826499059563,319.710392921244,360.420924835413,352.126393063104,321.372394103691,397.085007282998
"1190005I06Rik",115.426184210761,78.5527346391318,108.380689300716,152.093973337734,129.175916331816,111.854769776507,91.8590590599402,106.073894785859,149.346131057765
"1190007I07Rik",68.108618012561,67.7517336262512,55.0935170611972,52.3074511478979,62.4350262270443,74.5698465176716,59.3256423095447,64.0644315043305,107.177811700278
"1200009I06Rik",28.6773128473941,53.023095881414,37.9332412552505,113.466932490055,93.6525393405665,91.1409235215987,92.8159242584813,117.626497188279,166.916264123384
"1200011I18Rik",997.253554268129,1028.05891458964,1104.57985845646,950.386150856421,1022.64267096021,1062.62031287682,1056.37917918931,911.605353209162,776.599881500377
"1200011M11Rik",265.98207665958,295.554664079733,290.821516290254,263.951445792469,263.734162510791,276.529847503032,276.534042378362,276.212221076048,310.991355261463
"1200014J11Rik",459.55393837949,469.352589468813,409.137102110202,483.64274061364,419.821728078402,443.276309855048,374.134292629548,361.281384221143,398.84202058956
"1200016B10Rik",255.945017162992,356.433033425061,360.36579192488,463.524490172141,412.286466292379,437.062155978575,479.389464469063,352.879491564837,293.421222195844
"1300001I01Rik",1500.5403947399,1595.60242235736,1458.62344350547,1448.51403178794,1434.92913725259,1391.97046832987,1261.1483316771,1550.14919508839,1470.62013759234
"1300002K09Rik",4.30159692710911,116.847192775709,5.41903446503579,4.02365008829983,2.1529319388636,7.24984618921808,4.78432599270522,5.25118291019103,5.27103991968582
"1300010F03Rik",1279.72508581496,1521.95923363318,1326.76027152293,1961.931783055,1771.86298568474,1989.56493278399,2167.29967469546,2032.20778624393,2194.50961989586
"1300014I06Rik",84.5980728998125,122.738647873643,86.7045514405727,103.005442260476,91.4996074017029,94.248000459835,138.745453788451,114.475787442164,84.3366387149731
"1300017J02Rik",4.30159692710911,325.993848752397,4.51586205419649,5.63311012361977,4.3058638777272,5.1784615637272,9.56865198541044,2.10047316407641,7.02805322624775
"1300018I17Rik",392.162253188114,305.373755909625,355.849929870684,191.525744203072,274.498822205109,256.851693560869,251.655547216295,256.257726017322,209.084583480871
"1300018J18Rik",308.998045930671,333.84912221631,277.273930127665,381.442028370824,359.539633790221,417.384002036412,401.883383387238,435.848181545855,398.84202058956
"1500001M20Rik",113.275385747207,125.684375422611,125.540965106662,156.117623426034,128.099450362384,110.819077463762,118.651284619089,122.87768009847,182.729383882442
"1500002C15Rik",10.0370594965879,11.7829101958698,9.93489651923228,8.85203019425964,5.38232984715899,10.3569231274544,9.56865198541044,12.6028389844585,15.8131197590574
"1500002O20Rik",345.561619811099,300.464209994679,262.823171554236,299.359566569508,254.045968785905,297.243693757941,233.475108444015,335.025469670187,351.402661312388
"1500003O03Rik",1706.30011441995,1901.95808744998,1856.01930427476,1840.41755038834,1715.88675527429,1419.934160774,1406.59184185533,2026.95660333374,2373.72497716518
"1500009C09Rik",1157.12957339235,1223.45884200448,1141.60992730087,1314.92884885639,1328.35900627884,1485.18277647696,1358.74858192828,1598.46007786215,2199.78065981555
"1500009L16Rik",154.140556554743,162.015015193209,115.60606858743,111.052742437075,106.570130973748,114.961846714744,104.298306640974,135.480519082928,122.990931459336
"1500010J02Rik",457.403139915936,389.817945646692,440.748136489578,346.838637611446,447.809843283628,393.563078843267,391.357866203287,381.235879279868,393.570980669874
"1500011B03Rik",600.789704152906,523.357594533216,578.93351534799,564.920472397297,615.738534514989,624.5224645855,395.185326997451,590.232959105471,637.795830281984
"1500011H22Rik",334.090694672141,347.595850778158,422.684688272792,384.660948441464,414.439398231243,370.777847962867,308.110593930216,367.582803713372,493.720739143905
"1500012F01Rik",349.863216738208,304.391846726636,304.369102452844,580.210342732836,514.5507333884,391.491694217776,300.455672341888,523.017817855026,957.572252076257
"1500015O10Rik",289.64085975868,370.179761986909,129.15365475002,1325.39033908597,852.561047789985,253.744616622633,781.758867208033,87.169636309171,124.747944765898
"1500031L02Rik",995.81968862576,998.601639099963,1231.9271683848,768.517166865268,821.343534676462,752.948311365934,616.221187860432,725.7134781884,1062.99305046997
"1500032L24Rik",921.258675222535,860.152444298493,842.659859313066,933.486820485562,946.213587130551,859.624619578715,753.052911251802,1126.90385252699,1554.95677630732
"1500035N22Rik",15.0555892448819,13.7467285618481,20.7729654493039,4.02365008829983,4.3058638777272,15.5353846911816,6.69805638978731,11.5526024024203,5.27103991968582
"1520401A03Rik",2.86773128473941,0.981909182989148,0.903172410839299,6.43784014127974,2.1529319388636,2.07138462549088,3.82746079416418,3.15070974611462,3.51402661312388
"1520402A15Rik",417.971834750769,784.545437208329,671.960273664438,709.771875576091,739.532120999646,688.735387975717,952.080872548339,631.192185804961,604.412577457307
"1600002H07Rik",103.238326250619,162.996924376199,108.380689300716,148.875053267094,137.78764408727,141.889846846125,148.314105773862,126.028389844585,209.084583480871
"1600002K03Rik",37.9974395227972,35.3487305876093,37.0300688444112,33.7986607417186,34.4469110218176,39.3563078843267,38.2746079416418,25.2056779689169,36.8972794378007
"1600012F09Rik",288.206994116311,291.627027347777,249.275585391646,258.318335668849,293.875209654881,294.136616819705,303.326267937511,281.463403986239,295.178235502406
"1600012H06Rik",266.699009480765,292.608936530766,274.564412895147,289.702806357588,260.504764602495,281.70830906676,320.54984151125,211.097552989679,203.813543561185
"1600012P17Rik",0.716932821184852,0,0.903172410839299,0,0,0,0,0,0
"1600014C10Rik",502.569907650581,592.091237342456,538.290756860222,582.624532785816,612.509136606694,639.022156963936,560.723006345052,574.479410374898,611.440630683555
"1600014K23Rik",0,0,0,0,0,0,0,0,0
"1600015I10Rik",0,0,0,0,0,0,0.956865198541044,1.05023658203821,1.75701330656194
"1600016N20Rik",1.4338656423697,1.9638183659783,0.903172410839299,6.43784014127974,4.3058638777272,4.14276925098176,6.69805638978731,0,7.02805322624775
"1600021P15Rik",721.234418111961,645.11433322387,651.187308215134,451.453539907241,472.56856058056,560.309541195283,554.024949955264,471.556225335154,384.785914137065
"1600027N09Rik",289.64085975868,282.789844700875,281.789792181861,329.134577222927,332.627984554426,362.492309460904,337.773415084989,259.408435763437,244.224849612109
"1600029D21Rik",5.01852974829397,1.9638183659783,0,5.63311012361977,5.38232984715899,4.14276925098176,5.74119119124626,0,17.5701330656194
"1600029I14Rik",9.32012667540308,7.85527346391318,6.32220687587509,20.1182504414992,16.146989541477,22.7852308803997,22.9647647649851,10.5023658203821,14.0561064524955
"1600029O15Rik",10.7539923177728,4.90954591494574,7.22537928671439,0,1.0764659694318,1.03569231274544,0,2.10047316407641,0
"1700001C02Rik",5.73546256947882,11.7829101958698,5.41903446503579,12.0709502648995,8.61172775545439,11.3926154401998,6.69805638978731,3.15070974611462,17.5701330656194
"1700001C19Rik",0.716932821184852,8.83718264690233,0.903172410839299,3.21892007063987,3.2293979082954,0,1.91373039708209,2.10047316407641,1.75701330656194
"1700001F09Rik",0,0,0,0,1.0764659694318,0,0.956865198541044,0,0
"1700001G17Rik",8.60319385421823,1.9638183659783,5.41903446503579,7.2425701589397,9.68819372488619,6.21415387647264,5.74119119124626,1.05023658203821,14.0561064524955
"1700001J11Rik",0.716932821184852,0.981909182989148,0,0.804730017659967,1.0764659694318,1.03569231274544,0.956865198541044,0,0
"1700001K19Rik",14.338656423697,13.7467285618481,19.8697930384646,21.7277104768191,15.0705235720452,12.4283077529453,12.4392475810336,18.9042584766877,10.5420798393716
"1700001L05Rik",41.5821036287214,33.384912221631,27.9983447360183,14.4851403178794,23.6822513274996,17.6067693166725,22.9647647649851,16.8037853126113,8.78506653280969
"1700001L19Rik",157.008287839483,116.847192775709,141.79806850177,76.4493516776969,92.5760733711347,74.5698465176716,28.7059559562313,60.9137217582159,86.093652021535
"1700001O22Rik",45.1667677346457,24.5477295747287,30.7078619685362,20.1182504414992,20.4528534192042,20.7138462549088,12.4392475810336,19.9544950587259,7.02805322624775
"1700001P01Rik",2.15079846355456,3.92763673195659,1.8063448216786,1.60946003531993,1.0764659694318,3.10707693823632,1.91373039708209,1.05023658203821,0
"1700003E16Rik",205.759719680053,176.743652938047,158.055171896877,105.419632313456,142.093507964997,110.819077463762,59.3256423095447,88.2198728912092,156.374184284013
"1700003E24Rik",0,0,0,0,0,0,0,0,0
"1700003F12Rik",11.4709251389576,7.85527346391318,8.12855169755369,8.04730017659967,6.45879581659079,7.24984618921808,14.3529779781157,14.7033121485349,12.2990931459336
"1700003H04Rik",0,0,0,0,0,0,0,0,0
"1700003M02Rik",63.090088264267,42.2220948685334,41.5459308986077,112.662202472395,79.6584817379531,42.463384822563,59.3256423095447,21.0047316407641,42.1683193574865
"1700006A11Rik",0.716932821184852,0,0,0,0,0,0.956865198541044,0,0
"1700006E09Rik",1.4338656423697,0,0,0,0,0,0,0,0
"1700007B14Rik",17.9233205296213,4.90954591494574,11.7412413409109,7.2425701589397,4.3058638777272,8.28553850196352,0,3.15070974611462,5.27103991968582
"1700007E06Rik",0.716932821184852,0.981909182989148,0,0,1.0764659694318,1.03569231274544,0.956865198541044,1.05023658203821,1.75701330656194
"1700007G11Rik",13.6217236025122,12.7648193788589,6.32220687587509,25.7513605651189,17.2234555109088,12.4283077529453,7.65492158832835,5.25118291019103,10.5420798393716
"1700007I08Rik",19.357186171991,14.7286377448372,20.7729654493039,4.8283801059598,7.53526178602259,13.4640000656907,9.56865198541044,4.20094632815282,3.51402661312388
