"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"0610007C21Rik",882.628685860909,-0.110989248868521,0.158458304726163,-0.700431883707986,0.483657630447165,0.897914002067043
"0610007L01Rik",763.577265870132,0.0987957247215887,0.170109576325746,0.580776972440416,0.561390776843979,0.92555429296703
"0610007P08Rik",549.945773272422,0.0214395413629679,0.189786573223577,0.11296658661786,0.910057045617487,0.992511214864235
"0610007P14Rik",759.85673124482,-0.406448472774796,0.165680279245584,-2.45320972795035,0.0141587760663099,0.160967844912219
"0610007P22Rik",263.696158355965,-0.0395667950817775,0.228683792037862,-0.173019673712716,0.86263596345142,0.988638669709104
"0610009B22Rik",338.113237529806,0.169404086061536,0.209022425662343,0.810458904228739,0.41767647516181,0.872853819980155
"0610009D07Rik",937.804945156899,-0.0588339629724628,0.158716503269052,-0.370685856610193,0.710871525819789,0.967481547383489
"0610009L18Rik",26.9778503909714,-0.239175067754713,0.626479738932482,-0.381776221785347,0.702627357503348,0.96413082318418
"0610009O20Rik",540.154365556535,-0.156047367470519,0.192533113028203,-0.810496257065456,0.4176550153804,0.872853819980155
"0610010F05Rik",1214.82165778724,0.355235585615032,0.147811027984871,2.40330907955929,0.016247448526952,0.175586140443901
"0610010K14Rik",130.50593262165,-0.102932883247856,0.314087686484724,-0.327720212148025,0.743123219559715,0.972975828226679
"0610010O12Rik",741.105835520379,-0.394336705816593,0.169761468723619,-2.32288698243177,0.0201852246248089,0.203023649046139
"0610011F06Rik",345.982760339514,-0.159863921367054,0.207393392498516,-0.770824564086333,0.440810925217047,0.879976186578367
"0610011L14Rik",950.362672806805,0.0750119005982178,0.157232057503486,0.477077650634665,0.633306828691809,0.944459679908919
"0610012H03Rik",0.768286992536817,3.01759613828857,4.06697775708158,0.741975077939438,0.45810243550947,NA
"0610030E20Rik",194.426552038275,-0.122841509109038,0.260106695872495,-0.472273536430817,0.636731556921017,0.945043856171693
"0610031J06Rik",447.968218527823,-0.0742683034172921,0.234326398665933,-0.316943817854566,0.751286232843459,0.974144197350192
"0610037L13Rik",588.823625080176,-0.164606012758635,0.183507723220118,-0.896997738679312,0.369720123682435,0.844704157214791
"0610037P05Rik",795.519546639441,-0.0645126756029416,0.179131756081358,-0.360140920929962,0.718741752576995,0.969094787416251
"0610039K10Rik",8.1259512381076,0.539235814403344,1.120712012769,0.481154666193885,0.630406577917081,NA
"0610040J01Rik",65.8928455801835,-1.16315247346518,0.428287667763866,-2.71582060613166,0.0066111730408479,0.0945129614891478
"0910001L09Rik",441.500214100239,-0.10242596103895,0.193390566383388,-0.529632664893776,0.596366642026263,0.935570038700702
"1100001G20Rik",2.45248538703181,-2.20347460671912,2.26551027003177,-0.972617355068629,0.330743513819718,NA
"1110001A16Rik",253.941368623194,-0.0180337322662342,0.244736755123736,-0.0736862440507418,0.941260044687918,0.996520467886696
"1110001J03Rik",333.780779444586,-0.0567131604349442,0.221095990791969,-0.256509221319649,0.797557660996213,0.98282879010697
"1110002B05Rik",538.030963976651,-0.0813111268711045,0.216069008136053,-0.376320174617107,0.706678882621611,0.965588988705025
"1110002E22Rik",10.7697633658739,0.138099194047291,0.980066058077239,0.140908046870048,0.887942585094836,NA
"1110002L01Rik",51.4770383201202,-0.160364527894361,0.489001648307485,-0.327942714404765,0.742954976594598,0.972975828226679
"1110002N22Rik",127.61427474192,0.0423246311665217,0.311691887417284,0.135789967192373,0.891987322615856,0.99153758858859
"1110003E01Rik",2296.80637332518,-0.0188056923484852,0.137127176711513,-0.137140520205185,0.890919724536952,0.99153758858859
"1110003O08Rik",195.805393360346,0.440973836642826,0.270340957305697,1.63117657434415,0.102853066745831,0.516191355884267
"1110004E09Rik",331.062179215927,0.120459129090361,0.218858245369584,0.550397947707855,0.582046456009833,0.930617661983788
"1110004F10Rik",880.802217125552,-0.0695717180590036,0.18222803373381,-0.38178383771967,0.702621707967868,0.96413082318418
"1110005A03Rik",193.829334677853,-0.130324405673951,0.264933642254368,-0.491913388443222,0.622780573170549,0.941890765885519
"1110006G14Rik",1.73794889094396,0.35276984567389,2.25953995323213,0.15612463287904,0.875934782212791,NA
"1110007C09Rik",82.8451063481004,0.137826913741483,0.404351811979167,0.340858899745907,0.733209807096435,0.971703797054527
"1110008E08Rik",0.246971480750927,-1.51070646439216,4.99474700875026,-0.302459055833172,0.762302141347268,NA
"1110008F13Rik",309.384816714117,0.0291843956175349,0.222003593963864,0.131459113325369,0.895412128662568,0.99153758858859
"1110008J03Rik",236.667933623315,-0.0492993606204195,0.282552338616157,-0.17447868547778,0.86148928036069,0.988638669709104
"1110008L16Rik",113.122501659829,0.0101474509853232,0.327369245445715,0.0309969587140276,0.975271965103471,0.998083603452302
"1110008P14Rik",526.738203685691,0.655702136278739,0.200582255371989,3.268993735576,0.00107930691062363,0.0253972871973302
"1110012D08Rik",119.972216357705,-0.626311114225178,0.323403271750907,-1.93662578252324,0.05279110397716,0.362868638906835
"1110012J17Rik",1551.59642352293,-0.509713311640808,0.151344568380239,-3.36789960218594,0.000757431729592081,0.0195107870943263
"1110012L19Rik",232.248096644479,0.00653198355619817,0.257570282481851,0.0253600046296429,0.979767812521259,0.998552209367757
"1110014N23Rik",638.971014288988,-0.0979562351146249,0.188029287459577,-0.520962645969096,0.602392793274826,0.937804239835198
"1110017D15Rik",36.0524490502165,0.643060373619693,0.592338366344322,1.0856301231818,0.277642667040269,0.785801211497253
"1110017F19Rik",3.86857749060039,-0.15925360241241,1.59185248007492,-0.100042940162969,0.920310235104985,NA
"1110018G07Rik",1706.40593073088,0.0688333444268608,0.161560480887213,0.426053104378378,0.670069150687488,0.956337980652428
"1110018J18Rik",494.819566713055,-0.313669225218756,0.191483616885199,-1.63809954251496,0.101400930421283,0.512190302294083
