"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"0610007C21Rik",803.179993730286,0.262017201916092,0.19350251329025,1.35407647921901,0.175711979307267,0.750178784894584
"0610007L01Rik",628.201100981778,-0.231996039330987,0.219614676716769,-1.05637766473224,0.290795706092958,0.850800964526613
"0610007P08Rik",444.39934224973,-0.204834479663339,0.235131358113459,-0.871149136834822,0.383672727676506,0.904856299454614
"0610007P14Rik",528.255262377711,-0.184087295260472,0.208418718085057,-0.883257017180888,0.377097421596924,0.90324011605802
"0610007P22Rik",244.711202051256,0.242461935477626,0.273032744827663,0.88803244325389,0.374523300000593,0.902930410099428
"0610009B22Rik",316.839792560104,0.0776003808068563,0.24571334200403,0.315816716235066,0.752141629289589,0.986840062833321
"0610009D07Rik",898.614495370645,0.347509166364779,0.201612422145091,1.72364957807358,0.08477112261328,0.613145473306542
"0610009L18Rik",21.9805057967493,0.100002899816286,0.715874273895719,0.13969338396822,0.888902253978332,0.996080942634323
"0610009O20Rik",483.645543265106,0.260710436371777,0.222470920194714,1.17188545875386,0.241243045911586,0.810750485913517
"0610010F05Rik",1056.56351683893,-0.316895062907937,0.193525512861595,-1.6374846821079,0.101529236985577,0.64987134156492
"0610010K14Rik",115.213944361508,0.163532251528361,0.375781159816895,0.435179484804518,0.663432152431088,0.978147086026621
"0610010O12Rik",725.132310476302,0.704099791782261,0.232130050805934,3.03321258638291,0.00241965078798009,0.103329502316369
"0610011F06Rik",331.379384954929,0.435884129031856,0.255209842587723,1.70794403778542,0.0876467268399794,0.621696673300354
"0610011L14Rik",817.731524501721,-0.0743625588491667,0.186743149768427,-0.398207692980335,0.69047709570766,0.979223144725307
"0610012H03Rik",2.43816986594403,1.41052155590617,2.16501393987349,0.651506916388996,0.514719313853325,NA
"0610030E20Rik",142.769546482669,-0.341373093112483,0.343458319804999,-0.993928734369572,0.320257564000096,0.876964802252624
"0610031J06Rik",399.225472198737,0.169687054177578,0.223101754481662,0.760581442184607,0.446907107625782,0.927449253942913
"0610037L13Rik",501.285592633222,0.134145963842857,0.214715013426341,0.624762850544105,0.532126716021617,0.955169645545441
"0610037P05Rik",711.647554324569,0.171097767109161,0.204371685143069,0.837189197659084,0.402486228491817,0.913014625906947
"0610039K10Rik",8.96903644219899,0.246540915738717,1.11530479510449,0.221052502258468,0.825051553076887,0.99198008192111
"0610040J01Rik",34.0085729803723,-0.0791431098796146,0.589224707171536,-0.134317364693559,0.893151622624084,0.996080942634323
"0910001L09Rik",507.447921645267,0.820085227305067,0.278944845027482,2.93995476856463,0.00328260162264264,0.12628654641834
"1100001G20Rik",3.8764452262671,3.23838506961632,2.36601509869741,1.36870853926468,0.171090399978398,NA
"1110001A16Rik",237.873090640859,0.246485808029952,0.293575493725303,0.839599398785607,0.401133036452826,0.912655670795762
"1110001J03Rik",323.13023156539,0.370355629868387,0.250566965802804,1.47807045785858,0.139388920391203,0.707224105335276
"1110002B05Rik",401.963119423875,-0.33964999677298,0.245837733483728,-1.38160237633114,0.167093823942322,0.742612629767718
"1110002E22Rik",6.18593873367861,-1.81673821111119,1.41013009221722,-1.28834794827663,0.197624869267958,NA
"1110002L01Rik",36.1830750862385,-0.444155859653339,0.592959821789996,-0.749048828152546,0.453827775946841,0.931264246990593
"1110002N22Rik",107.801778383445,-0.0960764074789153,0.349268278181351,-0.275079111046636,0.783255459705125,0.98840089364274
"1110003E01Rik",1850.4376398598,-0.17469297148802,0.171463818107915,-1.01883285590942,0.308282324551142,0.86793327938623
"1110003O08Rik",225.104464512674,0.403731561710622,0.264298158989016,1.52756100630804,0.12662156948261,0.694463255929856
"1110004E09Rik",307.368488444891,0.094259016938033,0.282333868801609,0.333856569663865,0.738487793588541,0.984802566927558
"1110004F10Rik",725.390046243624,-0.0572639824977051,0.201363712987758,-0.284380843241535,0.776118538107155,0.98840089364274
"1110005A03Rik",150.709238800527,-0.171425124665254,0.330477592442321,-0.518719358242641,0.603956460246009,0.969590868525594
"1110006G14Rik",2.16387075916261,0.691920776993042,2.12778396186753,0.325183754268809,0.745042003327807,NA
"1110007C09Rik",94.2020281368247,0.597582046094955,0.39082064465515,1.52904421572265,0.126253483015087,0.694463255929856
