© 2000-2020 QIAGEN. All rights reserved. USE OF THIS CONTENT IS SUBJECT TO THE TERMS OF YOUR IPA END USER LICENSE AGREEMENT
From Molecule(s)	Relationship Type	To Molecule(s)	Catalyst(s)	
CEBPB	activation	CEBPB		
CEBPB	expression	CEBPB		
CEBPB	expression	IFNG		
CEBPB	expression	IL1B		
CEBPB	expression	IL2		
CEBPB	expression	IL5		
CEBPB	expression	NOS2		
CEBPB	expression	TNF		
CEBPB	inhibition	CEBPB		
CEBPB	protein-DNA interactions	IL1B		
CEBPB	protein-DNA interactions	IL5		
CEBPB	protein-DNA interactions	NOS2		
CEBPB	protein-DNA interactions	TNF		
CEBPB	protein-protein interactions	CEBPB		
CEBPB	reaction	CEBPB		
CEBPB	transcription	CEBPB		
CEBPB	transcription	IL1B		
CEBPB	transcription	IL2		
CEBPB	transcription	NOS2		
CEBPB	transcription	SIRT1		
CEBPB	transcription	TNF		
CEBPB	translocation	CEBPB		
DDX58	activation	IRF3		
DDX58	activation	MAVS		
DDX58	activation	STAT1		
DDX58	protein-protein interactions	DDX58		
DDX58	protein-protein interactions	IFIH1		
DDX58	protein-protein interactions	IRF3		
DDX58	protein-protein interactions	MAVS		
DDX58	protein-protein interactions	STAT1		
IFIH1	activation	MAVS		
IFIH1	protein-protein interactions	IFIH1		
IFIH1	protein-protein interactions	MAVS		
IFN Beta	protein-protein interactions	IFNG		
IFN Beta	translocation	IFN Beta		
IFNG	activation	IFNG		
IFNG	activation	IRF1		
IFNG	activation	STAT1		
IFNG	expression	IFNG		
IFNG	expression	IRF1		
IFNG	expression	IRF3		
IFNG	expression	Interferon alpha		
IFNG	expression	STAT1		
IFNG	inhibition	STAT1		
IFNG	localization	IFNG		
IFNG	localization	IRF1		
IFNG	localization	STAT1		
IFNG	modification	STAT1		
IFNG	molecular cleavage	IRF1		
IFNG	phosphorylation	IRF1		
IFNG	phosphorylation	STAT1		
IFNG	protein-protein interactions	IFNG		
IFNG	protein-protein interactions	Interferon alpha		
IFNG	protein-protein interactions	STAT1		
IFNG	regulation of binding	IRF1		
IFNG	regulation of binding	STAT1		
IFNG	transcription	IFNG		
IFNG	transcription	IRF1		
IFNG	transcription	STAT1		
IFNG	translocation	IFNG		
IFNG	translocation	IRF1		
IFNG	translocation	STAT1		
IFNL1	translocation	IFNL1		
IL17A	protein-protein interactions	IL17A		
IL17A	translocation	IL17A		
IL1B	activation	CEBPB		
IL1B	activation	IRF1		
IL1B	activation	Interferon alpha		
IL1B	activation	STAT1		
