"","Heart_Young_rep1","Heart_Young_rep2","Heart_Young_rep3","Heart_LTDR_rep1","Heart_LTDR_rep2","Heart_LTDR_rep3","Heart_LTAL_rep1","Heart_LTAL_rep2","Heart_LTAL_rep3","Heart_STDR_rep1","Heart_STDR_rep2","Heart_STDR_rep3"
"0610007C21Rik",671.217886288214,665.8119258933,706.816107580568,894.761606883648,764.078664171607,635.078831194727,590.930919530382,584.286809947065,694.867825239582,882.02966743794,1062.39191995845,1077.98306839011
"0610007L01Rik",397.377460287194,568.318036744639,596.782032454512,623.393301510343,466.875352128079,648.491266911617,562.82852441401,610.747779308192,523.208430171936,532.781556694837,423.359186148854,463.961462673583
"0610007P08Rik",272.810950715302,307.938015725651,260.566802902674,436.450691142066,260.607381829213,386.948770432268,299.758881241303,313.955825663111,290.410072477457,303.810218784179,231.649366005977,243.464925957425
"0610007P14Rik",151.332867000564,173.586680679325,145.183849124657,166.589987465279,118.659531300961,142.842440384875,146.756952274388,138.7412988124,137.562665910374,146.114005514972,113.827705709833,128.622979751092
"0610007P22Rik",59.7095665716509,79.6596411336627,69.5354224754937,85.9332967015466,94.2622444914174,78.4627489438048,59.327278579008,72.9464560766225,78.7752018461117,81.9663933376672,105.839796537214,90.3423310156483
"0610009B22Rik",322.225764429771,255.624221548321,349.969488942595,220.109847691681,200.723132387606,165.643581103588,234.967248056334,211.687754889022,286.882824633601,220.952886388494,357.45893547474,419.555910140468
"0610009D07Rik",689.74844143114,677.701424569967,662.496827321462,468.864127617211,650.963970781906,525.767480102076,601.079006655739,618.614553983122,593.753387049051,660.185841991428,934.585373196528,791.643815848986
"0610009L18Rik",86.475924000322,60.636443250997,100.100443343843,32.4134364751448,53.2304439480945,28.8367367913129,59.327278579008,41.479357376903,142.265663035515,83.7482714537034,167.746092625018,145.466465194688
"0610009O20Rik",907.997202003381,760.927915306629,1164.52729508409,287.951924035007,1239.8257569577,401.702449720847,722.856052160018,469.145835159455,1061.70160100058,540.800008217,1429.83574189896,1627.69318423109
"0610010F05Rik",225.455087572268,312.693815196318,240.699539338248,512.584576816243,277.241895562992,387.619392218112,306.784480020396,371.883893723958,310.397810259306,328.756512408687,201.694706608652,243.464925957425
"0610010K14Rik",108.094905000403,90.3601899426622,111.562326169473,67.8420763433263,106.460887896189,83.8277232305606,99.1390049938686,90.8254894287359,88.1811960963937,105.130808846138,125.809569468763,150.060143042941
"0610010O12Rik",399.43641085863,309.126965593318,456.947061981816,186.188809520018,403.664199939717,228.682028972969,296.63639289504,318.961955001702,442.081729763254,342.120598278959,924.600486730753,984.578285475624
"0610011F06Rik",129.713886000483,127.217635840327,129.901338690483,189.204012913054,141.947850528252,156.254876101765,131.925132629636,127.298717467047,128.156671660092,176.405933487588,249.622161644372,278.683122794034
"0610011L14Rik",391.200608572885,328.150163475984,446.249304677894,308.304546938005,416.971810926741,299.09731648664,350.499316868087,295.361630976913,386.821513542847,356.375623207249,441.331981787249,467.023914572419
"0610012H03Rik",2.05895057143624,0,5.34887865196106,3.01520339303672,1.10896758225197,1.34124357168897,0.780622086565894,2.1454840022536,4.702997125141,0.890939058018122,3.99395458630995,1.53122594941777
"0610030E20Rik",208.983483000778,205.688327106323,172.692367906171,263.830296890713,194.069326894095,243.435708261548,173.298103217629,175.929688184795,157.550403692223,232.53509414273,149.773296986623,171.49730633479
