"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"0610007C21Rik",702.87967673578,-0.131521449853074,0.146847571251092,-0.895632448889386,0.370449099269947,0.999654804345674
"0610007L01Rik",585.46100766783,0.119018078956076,0.219483969936489,0.542263195761019,0.58763720583127,0.999654804345674
"0610007P08Rik",313.431788404746,0.108967086750183,0.161015910798045,0.676747323976299,0.498566284944818,0.999654804345674
"0610007P14Rik",160.387380396016,-0.146257442349151,0.192317903291784,-0.760498319947103,0.446956773122316,0.999654804345674
"0610007P22Rik",75.398886277519,0.0117939921945853,0.274266366879929,0.0430019631234937,0.965699968956581,0.999654804345674
"0610009B22Rik",298.417648693728,-0.346601163742179,0.225450229740555,-1.53737330026695,0.124201920807517,0.833281228734042
"0610009D07Rik",690.227320722247,-0.161402302840295,0.120365326019664,-1.34093686427541,0.179940952032505,0.925433972328338
"0610009L18Rik",88.026623352114,-0.0410706564191467,0.506545209626412,-0.0810799423992918,0.93537837680909,0.999654804345674
"0610009O20Rik",913.800035724701,-0.334126424003232,0.339077531763464,-0.985398301873668,0.324428463452537,0.999654804345674
"0610010F05Rik",317.442943421763,0.349641359388024,0.212150744435372,1.64807981380681,0.0993362940285365,0.785571730372695
"0610010K14Rik",105.658548409133,-0.159275914447377,0.228401427867914,-0.697350782498118,0.485583294683437,0.999654804345674
"0610010O12Rik",399.298123584173,-0.146756352052614,0.256553793642477,-0.572029553603592,0.567301953009253,0.999654804345674
"0610011F06Rik",139.0493968938,0.00183245453100213,0.188929393991595,0.00969914999612842,0.992261319299512,0.999654804345674
"0610011L14Rik",394.891407816605,-0.180362159980881,0.211647887084445,-0.852180300334952,0.394114028670691,0.999654804345674
"0610012H03Rik",2.70299801644893,-0.0619730564262226,1.4727238250852,-0.0420805689231226,0.966434470201479,NA
"0610030E20Rik",196.471506220595,-0.205181580810028,0.189263362511526,-1.08410617927986,0.278317723369107,0.991788291515353
"0610031J06Rik",401.720422146456,0.129823524144361,0.17384078863889,0.746795531479303,0.455186993346369,0.999654804345674
"0610037L13Rik",446.952333581343,-0.0654284839544382,0.180395281214042,-0.36269509664616,0.716832662979053,0.999654804345674
"0610037P05Rik",1229.70411553368,-0.215147668613798,0.26887085885005,-0.800189613459695,0.423600946664189,0.999654804345674
"0610039K10Rik",11.8856289042621,0.0877956012241481,0.611277361223158,0.143626456324949,0.885795448130358,0.999654804345674
"0610040J01Rik",38.2715246660366,0.522343302600592,0.498618847445436,1.04758034173137,0.294831998503438,0.999654804345674
"0910001L09Rik",456.013841781499,-0.174785566068567,0.235606803759571,-0.741852795757671,0.458176528567305,0.999654804345674
"1100001G20Rik",16.3021907478942,0.906483909475644,0.930922067303634,0.973748438578996,0.330181460072901,0.999654804345674
"1110001A16Rik",367.745237693484,-0.0320779031435193,0.277871652378967,-0.115441438048423,0.908095235682359,0.999654804345674
"1110001J03Rik",802.046590388443,-0.553599303829708,0.376394512448348,-1.47079536369616,0.141346466665951,0.863106331773054
"1110002B05Rik",707.749467636495,0.124569522805896,0.204574989728768,0.608918631603277,0.542578373911798,0.999654804345674
"1110002E22Rik",263.413213244729,0.104507549649077,0.550690988103843,0.189775303948446,0.849485208796889,0.999654804345674
"1110002L01Rik",36.7505300742727,-0.446571402818033,0.375955823767893,-1.18782945917001,0.234900605627166,0.97244079138879
"1110002N22Rik",282.766857686399,-0.235811289707202,0.319655393636095,-0.737704710766297,0.46069390887601,0.999654804345674
"1110003E01Rik",1590.70672278833,-0.0757861250466126,0.143821176113677,-0.526946914873724,0.598230453192877,0.999654804345674
"1110003O08Rik",83.1890579272418,-0.253127876554673,0.415895554842173,-0.608633282100675,0.542767538848653,0.999654804345674
"1110004E09Rik",176.653156124063,-0.0260949497902834,0.26015686888845,-0.100304673490948,0.920102447297635,0.999654804345674
"1110004F10Rik",482.36480367479,-0.0784953219691521,0.151017452523717,-0.519776493758723,0.603219364648924,0.999654804345674
"1110005A03Rik",532.55928248392,-0.160767268918988,0.266580325028976,-0.603072521955676,0.546460445203434,0.999654804345674
