"","Kidney_LTDR_rep1","Kidney_LTDR_rep2","Kidney_LTDR_rep3","Kidney_LTAL_rep1","Kidney_LTAL_rep2","Kidney_LTAL_rep3","Kidney_Young_rep1","Kidney_Young_rep2","Kidney_Young_rep3","Kidney_STDR_rep1","Kidney_STDR_rep2","Kidney_STDR_rep3"
"0610007C21Rik",1233.71899314949,1043.18513064262,1111.27425075072,1080.22324881412,1227.405001091,889.112379156476,1380.91001810561,1307.79228004403,1565.42186801599,1185.97120496436,1281.10767524514,1188.50838433386
"0610007L01Rik",629.910120620757,733.660641214717,1017.98613249919,730.285741168945,658.922684796219,703.245843417802,620.354904809351,649.517371227225,739.26933397055,704.249425549201,721.519842698061,665.624796788749
"0610007P08Rik",428.060468709133,522.687581203719,451.710888375844,481.860093146665,451.555839875056,485.690586831879,428.665239223261,392.629601932862,574.648533828654,609.422303617083,500.144436415701,501.848040919734
"0610007P14Rik",318.435226722648,306.604447074807,327.326730707134,340.086145740846,355.947450316389,283.370292191749,382.13862136256,321.109711617954,385.63946699907,335.055830826819,281.84368855393,277.969723263924
"0610007P22Rik",160.087654964391,156.95227647877,150.570296125281,160.620031048888,144.058586970154,144.427439246117,148.264822249435,162.01444540724,149.37813346209,139.079778833774,184.4795052353,148.751365422316
"0610009B22Rik",283.633562599954,232.143367070925,368.242572045525,311.817020276242,363.053479270073,243.149992654855,439.21127260502,357.59945157454,464.901333734057,299.653705305495,304.391183638244,250.924020459867
"0610009D07Rik",749.97586184405,593.498608266234,702.115837366802,719.577739099019,693.160824300336,471.67442184175,810.183505681012,824.668123018836,731.648000630647,590.456879230659,626.205431659823,616.041008314643
"0610009L18Rik",40.0219137410978,27.7404023543873,36.0059403777847,37.2638472033421,38.1141552970362,32.298119325081,46.5266178607013,32.1109711617954,38.1066666995129,40.4595720243706,21.5226089441183,37.5634761167465
"0610009O20Rik",784.777525966744,758.481001216011,582.641580658698,702.016615704341,764.867116469336,715.433812974437,740.083401437555,754.607822302192,724.026667290745,838.271757879929,656.952015865706,874.477723997859
"0610010F05Rik",436.760884739807,419.756088257177,512.266333556664,425.750162300253,409.565668785101,420.484949703885,442.933402033876,385.331653941545,560.93013381683,466.549439906024,404.830025377463,267.451949951235
"0610010K14Rik",135.726490078506,119.721736476829,108.017821133354,109.221621113244,147.934602763073,145.036837723949,137.718788867676,135.741832638499,97.553066750753,106.206376563973,87.1153219166693,141.238670198967
"0610010O12Rik",998.807760321311,959.233912991183,1518.7960304811,1215.14407489519,1129.85860363587,851.939072008742,1706.59634313052,1506.29646540786,1281.90826777161,756.088252205426,1027.9607986167,739.249209977572
"0610011F06Rik",1179.77641375932,999.384495346217,1021.25939980626,1168.88550595311,1525.2122145136,925.066889348548,1550.26690711857,1570.51840773145,1691.93600145837,835.743034628406,1135.57384333729,1026.23416750952
"0610011L14Rik",544.646043520157,469.396808259764,675.929698910231,563.240908878102,499.360034654389,493.00336856586,558.939769233225,515.23512818699,445.08586705031,538.618052574434,502.194208696094,543.91913417049
"0610012H03Rik",588.148123673524,505.897337673432,404.24851242331,424.036881969065,590.446405787984,336.387959763108,684.871814909523,766.284539088299,938.948267475997,360.343063342051,678.474624809824,488.325189517705
"0610030E20Rik",323.655476341052,402.965844726889,371.515839352597,279.693014066464,284.887160779542,381.483447122655,306.455322975819,378.033705950228,390.212267003012,456.434546899931,489.89557501374,440.243940088269
"0610031J06Rik",986.627177878368,889.152896516941,729.938609476908,916.176657102859,1109.18651940697,984.178541698224,1058.32546760475,1053.82368994619,955.715200823783,786.432931223704,734.84336252061,892.508192533898
"0610037L13Rik",368.897639700554,329.234775311281,391.155443195025,379.063273275376,441.219797760605,329.684576506959,382.13862136256,405.765908317233,370.396800319265,293.331897176687,310.540500479421,320.040816514681
"0610037P05Rik",414.139803060056,379.605505902142,535.179204706164,492.568095216591,487.085984643479,380.874048644824,462.784758987776,469.987850640824,449.658667054252,410.917528372514,401.755366956875,414.700776328882
"0610039K10Rik",27.841331298155,21.1703070599272,24.549504803035,20.9876840570547,18.0880737002884,27.4229315024273,14.2681628106151,16.0554855808977,19.8154666837467,35.4021255213243,39.9705594676483,40.5685542060863
"0610040J01Rik",337.576141990129,314.634563545814,207.85247399903,356.79062896993,381.141552970362,342.481944541425,465.266178607013,337.165197198852,364.299733647343,203.562221747615,307.465842058833,247.918942370527
"0910001L09Rik",638.61053665143,547.507941205013,477.897026832415,571.378990451245,691.222816403876,525.301487890941,769.860436868404,687.466700782074,733.172267298628,538.618052574434,590.334416752959,530.396282768461
"1100001G20Rik",1.74008320613469,3.65005294136675,4.909900960607,12.421282401114,14.8580605395226,19.500751290615,21.0920667635179,52.5452255374834,41.1552000354739,372.986679599667,11.2737475421572,4.50761713400958
"1110001A16Rik",196.62940229322,179.582604715244,180.029701888924,211.590120901735,218.348889667767,168.193979881554,240.697703066028,293.377509250949,318.571733607928,226.320731011323,173.205757693142,166.781833958355
"1110001J03Rik",482.003048099308,333.614838840921,368.242572045525,412.043919650748,405.043650360028,267.525931768124,493.802504228243,484.583746623458,390.212267003012,338.848915704104,341.287084685304,223.878317655809
"1110002B05Rik",741.275445813377,583.278460030407,862.505935413297,672.462529991345,638.250600567318,675.822911915375,834.377346968577,674.330394397703,858.16213407303,662.525491899069,545.23942658433,417.705854418221
"1110002E22Rik",8.70041603067344,2.9200423530934,1.63663365353567,2.99824057957925,3.23001316076578,0.609398477831718,1.2407098096187,1.45958959826343,3.04853333596103,6.32180812880791,1.02488614019611,3.00507808933972
"1110002L01Rik",52.2024961840406,35.0405082371208,60.5554451808197,48.828489438862,38.7601579291893,42.0484949703885,31.6381001452769,30.651381563532,45.7280000394154,34.1377638955627,45.0949901686288,25.5431637593876
"1110002N22Rik",175.748403819603,140.162032948483,176.756434581852,183.749315519928,198.968810703172,135.286462078641,202.856053872658,202.882954158616,216.445866853233,144.13722533682,148.608490328436,118.700584528919
"1110003E01Rik",1489.51122445129,1327.88926006922,1518.7960304811,1460.57148233789,1263.58114849157,1230.37552674224,1264.90365090627,1293.1963840614,1181.3066676849,1513.44086603661,1334.40175453533,1340.26482784552
"1110003O08Rik",59.1628290085794,51.1007411791345,58.9188115272841,28.2691254646043,40.6981658256488,34.1263147585762,37.221294288561,29.1917919652685,24.3882666876882,74.5973359199334,52.2691931500016,76.6294912781629
"1110004E09Rik",175.748403819603,167.172424714597,178.393068235388,227.437963965226,233.852952839442,171.850370748544,239.456993256409,232.074746123885,208.824533513331,183.332435735429,169.106213132358,223.878317655809
"1110004F10Rik",492.443547336117,400.775812962069,518.812868170807,487.856574305823,470.93591883965,423.531942093044,486.97860027534,433.498110684238,443.56160038233,422.296783004368,326.938678722559,393.665229703504
"1110005A03Rik",276.673229775415,186.882710597978,217.672275920244,258.705330009409,296.515208158298,208.414279418448,289.085385641157,291.917919652685,301.804800260142,217.470199630992,179.355074534319,222.375778611139
"1110006G14Rik",1.74008320613469,6.57009529446016,13.0930692282853,4.28320082797035,4.52201842507209,0.609398477831718,8.06461376252156,8.75753758958056,3.04853333596103,5.05744650304633,3.07465842058833,4.50761713400958
"1110007C09Rik",170.528154201199,159.872318831864,127.657424975782,151.625309310151,166.022676463361,154.177814891425,176.180792965856,173.691162193348,117.3685334345,197.240413618807,195.753252777457,222.375778611139
"1110008E08Rik",0,0,0,0,0,0,0,0,0,0,0,0
