"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"0610007C21Rik",1305.30206334576,0.0772227962437546,0.178481086794142,0.432666551010094,0.665257033384727,0.90976023628929
"0610007L01Rik",886.020486360269,0.180211425479455,0.205941396342056,0.875061685898905,0.381540342696582,0.768193521854975
"0610007P08Rik",559.261166126872,-0.0136004578308812,0.156240398787351,-0.0870482790394819,0.93063313659656,0.985692898584469
"0610007P14Rik",382.91594917348,-0.0474528576418388,0.172434432245148,-0.275193631712578,0.783167479316711,0.946865064439559
"0610007P22Rik",181.685801150954,0.0534957477045346,0.186557661397476,0.286751813373976,0.774302361405228,0.944595074141278
"0610009B22Rik",357.065219011834,-0.0682756791606858,0.247596010006536,-0.275754359526567,0.782736740771736,0.946837175805819
"0610009D07Rik",778.967936572883,0.109285814431328,0.217667683903577,0.502076433540498,0.615613756711578,0.891284279106375
"0610009L18Rik",41.8994972137892,-0.0898306154694827,0.342499975151712,-0.262279188282252,0.793106205895968,0.949563854726494
"0610009O20Rik",854.184216651047,-0.0389313148295624,0.172695215935557,-0.225433661370736,0.821641927521253,0.959413358503522
"0610010F05Rik",519.930575365291,0.115241794467754,0.150457875532057,0.765940593406823,0.443711650778972,0.806114401926235
"0610010K14Rik",151.760637439985,-0.147285957266024,0.233868533136978,-0.629780994007252,0.528837882280453,0.85131004966556
"0610010O12Rik",1321.99617553806,0.112246222814862,0.238198014164574,0.471230724607594,0.63747598005062,0.897910965926979
"0610011F06Rik",1352.39765409296,-0.183816081352381,0.219122535211549,-0.838873469471853,0.401540317056087,0.778802822233615
"0610011L14Rik",642.835604456228,0.108285998875905,0.185608369293237,0.583411186080878,0.559616529313729,0.865897043294435
"0610012H03Rik",565.125380401357,0.144893552947247,0.260775837309317,0.555624916948813,0.578467294170038,0.87184832298785
"0610030E20Rik",404.975084727297,0.218242734146888,0.201027993072932,1.08563355187907,0.277641149499987,0.684090628605073
"0610031J06Rik",1113.35558742794,-0.21073647379179,0.177104741094147,-1.1898974160142,0.234086714219389,0.632930783324262
"0610037L13Rik",443.834507824422,-0.0876484262562216,0.185811357706833,-0.471706505662105,0.637136292885527,0.897910965926979
"0610037P05Rik",532.895144196632,-0.0448851711870283,0.205473040928436,-0.218447982198605,0.827080083728541,0.960941274526248
"0610039K10Rik",27.7355761790596,0.122454918320363,0.412065894962077,0.297173145891224,0.766334322746249,0.940856260245413
"0610040J01Rik",384.867636762111,-0.328278437315,0.221946667831155,-1.47908702808161,0.139117056684426,0.505106637933201
"0910001L09Rik",684.477558453588,-0.108272948178632,0.193343274815491,-0.560003694371876,0.575476917800721,0.870660232626488
"1100001G20Rik",11.3119761531074,-2.15497740361666,0.73563153834317,-2.92942497880151,0.00339589776587674,0.0599990416836167
"1110001A16Rik",228.860942263226,-0.112764141698379,0.199690274299348,-0.564695211592221,0.572281091754196,0.870073942889971
"1110001J03Rik",449.697759238056,0.115452513296165,0.246409978201199,0.468538304085622,0.639399685590821,0.898448025512579
"1110002B05Rik",826.524648211994,0.12820439216667,0.181715095427964,0.705524171587018,0.480484094960779,0.826817335896079
"1110002E22Rik",3.98704721835374,0.889970136322703,1.14107062236595,0.779943080540795,0.43542437928146,NA
"1110002L01Rik",54.9304495537486,0.146939898843375,0.334250089743525,0.439610648889052,0.660219126707937,0.906766530640147
"1110002N22Rik",200.331612578425,-0.0884400328638985,0.237531245727781,-0.372330101637465,0.709647089256491,0.923270669177441
"1110003E01Rik",1642.73019207673,0.125953119042768,0.143485499078512,0.877810788209677,0.380046408917019,0.76661287330973
"1110003O08Rik",53.9328439191913,0.707867542414282,0.311516943289957,2.27232437163267,0.0230669258385012,0.195058469592576
"1110004E09Rik",228.895943486407,-0.288913865055864,0.209181489371027,-1.38116362936596,0.167228654924765,0.54778251425644
"1110004F10Rik",553.648346420639,0.0182364248163664,0.170521722617551,0.106944877968817,0.914832709852229,0.98168169410158
"1110005A03Rik",286.437833373865,-0.179570720728171,0.235674265914471,-0.761944542529473,0.446093103859712,0.807794184120812
"1110006G14Rik",6.09832077508031,1.16410271368445,1.03671066157227,1.12288100897794,0.261488034142994,NA
"1110007C09Rik",184.358663011524,-0.0411899997621456,0.20316367917483,-0.202742930869548,0.839335965965055,0.965080199456154
"1110008E08Rik",0,NA,NA,NA,NA,NA
"1110008F13Rik",393.549146342084,-0.10559646932891,0.23771717825935,-0.44421051142423,0.656890393289313,0.905558891808579
"1110008J03Rik",127.669843647489,0.0275940721672423,0.243074330133792,0.113521128093016,0.90961741355719,0.980956813215025
"1110008L16Rik",260.459727456173,-0.15055912245144,0.244417765756517,-0.615990912057608,0.537900517829855,0.855892915305497
"1110008P14Rik",391.998934601704,0.179624334657682,0.367389187847648,0.488921123972136,0.624897539887793,0.893795088993128
"1110012D08Rik",75.7826396421629,0.316449500944417,0.271521690680928,1.16546674466713,0.243830113837728,0.644000803937872
"1110012J17Rik",187.917138974722,0.358196245434769,0.323511051931658,1.10721486420946,0.268201042467414,0.6740562904047
"1110012L19Rik",198.20607176296,-0.102660310265289,0.244437323022746,-0.419986232035996,0.674495511572236,0.913035860176525
"1110014N23Rik",426.649224004524,-0.0281628581888415,0.163846988225067,-0.171885113629039,0.863527850006941,0.969735245517483
"1110017D15Rik",1.88310508232196,0.0589082190349958,1.413363742292,0.0416794468913336,0.966754238725888,NA
"1110017F19Rik",79.1964127871955,0.429555015672419,0.282542584025474,1.5203195552062,0.128430681563351,0.488670303702656
"1110018G07Rik",908.446705530743,-0.0428750891991534,0.143954585459903,-0.297837606646408,0.765827110410866,0.94058343078298
"1110018J18Rik",1737.09642096604,0.210804589707983,0.140073834727222,1.50495337061701,0.132336065408561,0.494074604382823
"1110020G09Rik",1288.90754872242,0.415906361565387,0.164312064457422,2.53119795517609,0.0113673674260575,0.127349365964844
"1110021J02Rik",90.567873920611,-0.145037491408494,0.258355234442074,-0.561387857001258,0.574533160201921,0.870660232626488
"1110021L09Rik",235.296958080198,-0.25220476299718,0.18524923905884,-1.36143481224812,0.173376321027223,0.556451040037233
"1110025L11Rik",0,NA,NA,NA,NA,NA
"1110028C15Rik",1859.47657655322,0.079283227484417,0.117815170383426,0.672945828846932,0.500981754770646,0.838203479390165
"1110031I02Rik",153.51812354451,-0.190025686736994,0.2065914825296,-0.919813752291397,0.357670095516921,0.749200004243022
"1110032A03Rik",447.489938462731,0.341113991766715,0.229678281618534,1.48518174797764,0.137495685610884,0.503009008562195
"1110032A04Rik",405.273654668436,0.780501523035546,1.27043267290973,0.614358824106695,0.538978238872336,0.856301899590655
"1110032F04Rik",44.1817717485959,-1.7557543645503,0.554172140170452,-3.16824725979597,0.0015336102811195,0.0345732743975875
"1110034A24Rik",131.173362434232,0.131291847632391,0.238024050105531,0.551590679908946,0.581228823353088,0.873482101356295
"1110034B05Rik",148.655090440224,-0.0336667963851616,0.220396593221345,-0.152755520823092,0.878591075212743,0.973333932962483
"1110034G24Rik",102.670185571562,-0.234944899522347,0.235792970390542,-0.99640332420941,0.319054218501842,0.723516931938628
"1110037F02Rik",1363.8381987926,0.0350935594106252,0.138054884082812,0.254200057055385,0.79934100652805,0.951385377549848
"1110038D17Rik",1616.03906304065,-0.192208100517954,0.178074318106994,-1.07937013355552,0.280422759516243,0.687778092787065
"1110038F14Rik",174.895813702578,-0.146419268870428,0.220657306101989,-0.663559577776915,0.506972235980433,0.840552022196032
"1110049F12Rik",364.257196630696,0.212072138996734,0.187224873043678,1.13271348805914,0.257334591579896,0.661492605512679
"1110051M20Rik",252.368563675086,-0.0228639944515667,0.22563383450263,-0.101332295761256,0.919286679822398,0.983026748991007
"1110054O05Rik",295.954089115269,-0.0868967833150975,0.180862708808877,-0.480457159396655,0.630902358634833,0.896276749500001
"1110057K04Rik",546.611519122592,0.116156730333941,0.180908233811021,0.642075420709045,0.520824214152396,0.847374565979909
"1110057P08Rik",0,NA,NA,NA,NA,NA
"1110058L19Rik",302.293728108949,-0.100460439914713,0.24103421598933,-0.41678912474053,0.676832657748102,0.913332934046592
"1110059E24Rik",323.871151461375,-0.190474491406065,0.197981601511593,-0.962081779073353,0.336008526099958,0.736017928021226
"1110059G10Rik",182.690029688103,-0.227158646419191,0.206943198928425,-1.09768597178087,0.272341637443932,0.678894490496465
"1110059M19Rik",2.1859602134384,-0.478647563489661,1.70258730019448,-0.281129527651819,0.778611054266276,NA
"1110065P20Rik",138.94796775678,-0.386647756971682,0.310181580804689,-1.24652068626583,0.21257329956625,0.611342730819494
"1110067D22Rik",722.534697094316,-0.117266778069449,0.167440105964495,-0.700350596375726,0.483708381120844,0.827868637791275
"1190002H23Rik",1170.92284144089,0.805327164873238,0.204227502647172,3.94328459406635,8.03731825147773e-05,0.00395915897868315
"1190002N15Rik",501.468035305402,0.497984252195824,0.292932021349886,1.69999937153002,0.0891310437311928,0.413738532672896
"1190003J15Rik",57.8593732629543,-0.228916485417145,0.466389456962025,-0.490826887271991,0.623548891532879,0.893795088993128
"1190005F20Rik",413.847549212848,0.153144625731895,0.152636882902619,1.00332647535524,0.315703366066496,0.721471697891907
"1190005I06Rik",17.1388685891911,1.49666910103926,0.827662408369189,1.80830866051808,0.0705584747198284,0.366726283409955
"1190007I07Rik",86.8216601428455,-0.0142934010303954,0.257629064012154,-0.0554805455867397,0.955755628448119,0.990560228660376
"1200009I06Rik",192.660115660387,-0.845646332420881,0.225193441726793,-3.75519964496491,0.000173203359055578,0.00682148408385475
"1200011I18Rik",887.810860035977,0.0522572650199136,0.149613828189643,0.349280983263627,0.726878373684925,0.9307654078967
"1200011M11Rik",294.006122925769,0.237795267706796,0.19459618379108,1.22199347938958,0.221710092841643,0.620111856283523
"1200014J11Rik",536.831828555591,-0.0422786188075499,0.145003293763878,-0.291570058238787,0.770615371197548,0.942497605435185
"1200016B10Rik",625.154314362055,0.23140899253017,0.140564647468032,1.64628159852781,0.0997057962229113,0.437743836634341
"1300001I01Rik",2762.35706073346,-0.163044409678918,0.166967800310393,-0.976502112238516,0.328815701675497,0.731719831133984
"1300002K09Rik",218.15439909752,-2.26210247269311,0.336794208062084,-6.71657177749362,1.86049684077148e-11,6.82264863698023e-09
"1300010F03Rik",3514.654653304,0.163643202242845,0.156488363974925,1.04572121585389,0.295689764587165,0.700872234302987
"1300014I06Rik",216.383596554153,0.065443021559582,0.184468097860592,0.354766066970773,0.722764851574473,0.928754522713126
"1300017J02Rik",10.4973410727879,0.20763754998936,0.885937345881923,0.23437046756694,0.814697383679862,0.957167947134428
"1300018I17Rik",233.15040209494,-0.215186286209557,0.194745055165398,-1.10496405686295,0.269175163927945,0.674812029087833
"1300018J18Rik",430.038523402439,0.0120932463811277,0.169125380901893,0.0715046216992279,0.942996146391642,0.988962339228146
"1500001M20Rik",154.713277153805,0.143713970078533,0.192442442335312,0.746789368990266,0.455190713778872,0.81508037990027
"1500002C15Rik",7.16072082842277,-1.21258073563753,0.901969397629635,-1.3443701513867,0.178828720969954,NA
"1500002O20Rik",216.189685475225,0.153201010029287,0.18717162377607,0.81850553485915,0.413068582889039,0.785034867538283
"1500003O03Rik",2246.99804281487,0.464421651995409,0.168217374286034,2.76084235630569,0.00576524973237282,0.0842990687362912
"1500009C09Rik",0.119987845861573,0.242053568448321,4.0804728567969,0.0593199800471971,0.952697247359661,NA
"1500009L16Rik",25.2313366195268,-0.360570616712757,0.505257053036416,-0.713637968130985,0.475451073318482,0.82484272201883
"1500010J02Rik",268.070178781084,-0.078061881228301,0.202086518550108,-0.386279509332757,0.699289674274131,0.922242847112791
"1500011B03Rik",38.8298381011065,0.0671361585691254,0.354393418434687,0.189439631428986,0.849748265388735,0.966929349623769
"1500011H22Rik",90.2543333878304,0.171560277264109,0.247943395252812,0.691933241815861,0.488979253752967,0.831206988570458
"1500012F01Rik",297.132233636612,0.217763714632596,0.183045961724906,1.18966686060994,0.234177355439625,0.632930783324262
"1500015O10Rik",55.51779001683,-1.31106726032251,0.44345082916206,-2.95651101340793,0.00311141119493339,0.0563568222466359
"1500031L02Rik",357.841551703947,0.00582987070217601,0.164046672523949,0.0355378784127724,0.971650842834203,0.994253429191938
"1500032L24Rik",924.77146930515,-0.263400568506765,0.14741756058763,-1.78676520936046,0.0739754445912261,0.37642392434302
"1500035N22Rik",5.15101100863634,0.985341458315551,0.966513547337398,1.01948023494344,0.307975031894624,NA
"1520401A03Rik",0.401224439949358,-0.0143386967582414,3.85932377173581,-0.00371533916466207,0.997035595062353,NA
"1520402A15Rik",290.833212353919,0.126883743769617,0.278335793653791,0.455865708481036,0.648486549768365,0.903217846411002
"1600002H07Rik",67.3634058844612,-0.109290867400007,0.321719389310244,-0.339708674799871,0.734075928318582,0.932953296572819
"1600002K03Rik",66.3174588989628,-0.768287682538824,0.360163818134425,-2.13316175544339,0.0329114592336781,0.242457544765248
"1600012F09Rik",200.696120067711,-0.1317608837266,0.198793586791455,-0.662802487007916,0.507457060614142,0.840552022196032
"1600012H06Rik",597.18793251101,-0.0864757518317381,0.159303455837338,-0.542836634504884,0.587242287276849,0.876957275935443
"1600012P17Rik",1.6125475156378,-1.23987847067282,1.65050072021637,-0.751213529013358,0.452524159413395,NA
"1600014C10Rik",704.307731724016,0.170645720803942,0.173265711215178,0.984878771495751,0.324683621963312,0.72857344705447
"1600014K23Rik",0.145741587369135,2.10457595123874,4.07123897749762,0.516937463723221,0.60519981423002,NA
"1600015I10Rik",0.265729433230708,1.1428018971514,4.07123875035353,0.28070127232213,0.778939532800757,NA
"1600016N20Rik",26.6266335035716,0.668964254935824,0.44248429397122,1.51183728790006,0.130575260932756,0.491840437323064
