"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"0610007C21Rik",926.311748025435,0.109548744280204,0.151267848688699,0.724203756646593,0.468940652605613,0.884743420632788
"0610007L01Rik",588.104613799458,-0.187981113804916,0.21726180159487,-0.865228551107417,0.386913357619446,0.845631424378941
"0610007P08Rik",396.287902870559,0.192907287982288,0.186957638368786,1.03182351716363,0.302154800281253,0.79368927839474
"0610007P14Rik",242.911122952722,-0.0902784448437824,0.18754908208351,-0.481359033277402,0.630261347382415,0.938548080358846
"0610007P22Rik",123.624279144904,0.016186151352634,0.235587106179485,0.0687055909600689,0.945223967780384,0.994006604850297
"0610009B22Rik",228.66744976004,-0.0405725780719386,0.240393876607087,-0.168775422421648,0.865973291036998,0.982126050575595
"0610009D07Rik",510.035741279078,-0.156531234329912,0.170716673465851,-0.916906539660427,0.359191616797314,0.832399740992207
"0610009L18Rik",26.7273892243762,-0.0552876465675032,0.452907734964437,-0.12207264813405,0.902841483474518,0.98965531225382
"0610009O20Rik",591.102457184322,0.150571818553921,0.20518789442124,0.733824083426701,0.463055960471633,0.882571356553406
"0610010F05Rik",329.808222732721,-0.263057121262921,0.248272561580347,-1.05954971257583,0.289349501647175,0.782532025861225
"0610010K14Rik",91.775954467855,-0.130013567222555,0.286162645895482,-0.454334516008219,0.649588076703,0.944521601593057
"0610010O12Rik",789.07765939735,-0.461270638805383,0.246371643157748,-1.872255397956,0.061171278172387,0.44036900910808
"0610011F06Rik",815.187937731108,-0.0951872252671134,0.185712472318093,-0.512551602372049,0.608265015176493,0.932290480944896
"0610011L14Rik",430.551531898432,-0.0911238469921888,0.197346145441123,-0.461746272208672,0.644263284155228,0.943384727293709
"0610012H03Rik",398.032012765212,0.026930593226908,0.276180326227255,0.0975109038170525,0.922320675502828,0.991990142132028
"0610030E20Rik",326.719542861047,0.329588842326937,0.181156655643662,1.81935817459141,0.0688568033697382,0.462906660138575
"0610031J06Rik",660.104829385226,-0.114992166252239,0.187031110223991,-0.614829084394155,0.538667599668687,0.909229378813334
"0610037L13Rik",264.740024659,-0.235388958637542,0.181473952132238,-1.2970950148593,0.194598496582451,0.694232356067966
"0610037P05Rik",336.105001888067,-0.112404243271472,0.199583082652971,-0.563195245695834,0.5733019399488,0.920973266962908
"0610039K10Rik",24.915388953672,0.674555898543348,0.424467451498707,1.58918168203859,0.112019380823577,0.564709241809173
"0610040J01Rik",213.0023919101,-0.183350614540152,0.271919455235875,-0.674282810625319,0.500131530273354,0.895576096748618
"0910001L09Rik",437.116143192686,-0.00489336221364119,0.185086519312667,-0.0264382421356945,0.978907791987983,0.997606827260992
"1100001G20Rik",52.4029907223198,5.22924148038077,1.71314133231523,3.05242853099207,NA,NA
"1110001A16Rik",147.618211865383,0.0260708061757189,0.229988831897796,0.113356835462795,0.909747659380495,0.99104974783481
"1110001J03Rik",274.681395895469,-0.383843360079159,0.254983084458603,-1.50536793801111,0.132229507358097,0.606061891888302
"1110002B05Rik",501.403374345403,-0.426041837340218,0.242716841075015,-1.75530398077546,0.0792073259475166,0.492473343806614
"1110002E22Rik",3.10592031960964,-0.337612929207933,1.26452602012481,-0.266987728077441,0.789478609814477,NA
"1110002L01Rik",33.2242497704671,-0.462488427606945,0.429022276591488,-1.07800562544523,0.28103124567962,0.776673008761819
"1110002N22Rik",118.912202152636,-0.24770337225984,0.244135758357323,-1.01461323784161,0.310290226587663,0.799315909281032
"1110003E01Rik",1120.91977583786,-0.0511381890322813,0.149919564509147,-0.341104172758994,0.733025160008515,0.961898270579995
"1110003O08Rik",48.9886464471222,0.265352414830706,0.333484906776916,0.795695425605015,0.426209086298755,0.86591133986549
"1110004E09Rik",144.302031688953,0.139806292421528,0.22283815682413,0.627389377178645,0.530404029291534,0.905117323616897
"1110004F10Rik",335.946131038069,-0.304679875013268,0.202967868623482,-1.50112368563356,0.133323573644901,0.607035209206207
"1110005A03Rik",171.006280687786,-0.134074114655465,0.241472096905923,-0.555236469858874,0.57873292672602,0.922591656788597
"1110006G14Rik",4.47252430475205,-0.772149441428965,1.04628593320942,-0.737990846403183,0.460520011570482,NA
"1110007C09Rik",141.140705119945,0.418092406902541,0.227169984423186,1.84043859475596,0.0657038716098102,0.45359267868868
"1110008E08Rik",0,NA,NA,NA,NA,NA
"1110008F13Rik",241.796609629285,-0.129357729041675,0.251716182207218,-0.513903110667653,0.607319732571844,0.932290480944896
"1110008J03Rik",86.4864468004335,0.0267535520833108,0.251346959074229,0.106440723141631,0.915232684185303,0.991503141177486
"1110008L16Rik",164.690171888774,0.0146855216143756,0.282775157935474,0.051933563477053,0.95858163056347,0.994900713692311
"1110008P14Rik",235.37431957615,-0.521458167521039,0.35703754628789,-1.46051353125918,0.144148991456389,0.626522966034317
"1110012D08Rik",64.8703914609074,0.404373933561295,0.28560156638283,1.4158673521393,0.156814345311819,0.645125282662118
"1110012J17Rik",119.372475004626,-0.518011974457883,0.33621523545848,-1.54071535084214,0.123386079052444,0.587626568088947
"1110012L19Rik",130.446209244682,0.0689729670455025,0.242611092583865,0.284294367215135,0.776184802449806,0.9700094667934
"1110014N23Rik",279.510198196273,-0.017241075561663,0.199281074630678,-0.0865163718813511,0.931055941989397,0.992474018211537
