"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"0610007C21Rik",1066.06108714959,-0.328238506289477,0.155124541931399,-2.11596761030008,0.0343475624005548,0.161641112637011
"0610007L01Rik",612.025086804459,0.245484470239922,0.213251485461372,1.15115010668655,0.249670487142687,0.543833575968313
"0610007P08Rik",390.344469175764,0.0153424477605941,0.209753243683714,0.0731452228873699,0.941690555353026,0.980252730995128
"0610007P14Rik",284.751645358767,-0.196870348155929,0.180018499799544,-1.09361175865342,0.274125289891076,0.573649834511846
"0610007P22Rik",129.381313039697,0.0289196161936736,0.216849272785475,0.133362753871364,0.893906500340204,0.96337471794445
"0610009B22Rik",299.156766783527,-0.522745982787698,0.230663140625935,-2.26627445273292,0.023434584593141,0.126548227438957
"0610009D07Rik",615.554988130335,-0.215017150167746,0.167981506027328,-1.28000489609116,0.200543413984182,0.482402061379983
"0610009L18Rik",30.7661281685753,-0.210429789621487,0.41512310948296,-0.506909359692308,0.612218418103828,0.829140499662596
"0610009O20Rik",606.426191561611,-0.0579423232707466,0.179314956431268,-0.323131569300836,0.746595602769285,0.899441775315954
"0610010F05Rik",384.562776381942,-0.0211694938400999,0.20405300726716,-0.103745071555762,0.917371657683815,0.972154626911098
"0610010K14Rik",102.530759314671,-0.0389819400368265,0.267393186850953,-0.145785090846594,0.884091045931581,0.959528669467309
"0610010O12Rik",1111.66194620369,-0.375156824866297,0.222958502299361,-1.68263071826067,0.0924466012423201,0.305812529723132
"0610011F06Rik",1117.8631354947,-0.588373390149367,0.147143637863642,-3.99863289158727,6.37094067400187e-05,0.00182435755406942
"0610011L14Rik",447.58905046582,0.145304657708056,0.203054596735018,0.715594032562955,0.47424205942036,0.741633025616639
"0610012H03Rik",542.458917226283,-0.668309990647326,0.212484908501383,-3.14521156048584,0.00165966763603761,0.0192265537696587
"0610030E20Rik",303.081069395207,0.0439717586334622,0.19677320161922,0.223464162150255,0.823174272372195,0.935710038714269
"0610031J06Rik",791.910127985613,-0.234197860636071,0.1757252724507,-1.33275002149605,0.18261385190265,0.458599794432307
"0610037L13Rik",313.521363789324,-0.0931847879038768,0.173824983002135,-0.536083975355442,0.591900514564608,0.818398638680558
"0610037P05Rik",378.086742944134,-0.0627551750561718,0.191518077353621,-0.327672332154316,0.743159425165876,0.898599993473247
"0610039K10Rik",17.2548272582262,0.559684770588761,0.518798704044717,1.07880911464366,0.280672830811198,0.580026187658973
"0610040J01Rik",282.992593811079,-0.43975115391086,0.251644541229185,-1.74750921185434,0.0805490484069221,0.279711283915079
"0910001L09Rik",537.924326393825,-0.397105173417074,0.178323911215453,-2.22687563720654,0.0259555865009162,0.134831163199749
"1100001G20Rik",17.4311149742577,-3.43061250188376,0.747598139334768,-4.58884569313724,4.45703729987167e-06,0.000226591679278089
"1110001A16Rik",196.502392839776,-0.609263913307314,0.210940856799883,-2.88831629182825,0.00387310196548831,0.0356449651476224
"1110001J03Rik",356.231141499978,-0.216846541691557,0.216146505307713,-1.00323871247813,0.315745698742278,0.615628084870333
"1110002B05Rik",635.010140878569,-0.119146173766079,0.203086591018146,-0.586676713458807,0.557420850138615,0.79783872512355
"1110002E22Rik",2.65632952530529,1.23436750874576,1.36228373290004,0.906101628416297,0.364882063504447,NA
"1110002L01Rik",35.6561734806954,0.442440755344903,0.412615679677808,1.07228294302917,0.283592965642757,0.583459048262025
"1110002N22Rik",155.49414010899,-0.346890341876732,0.216741524764529,-1.60047938323586,0.109492277000299,0.339524700391919
"1110003E01Rik",1126.61328261913,0.211866669159423,0.14122764404225,1.5001784572434,0.13356818201834,0.38045488456399
"1110003O08Rik",36.2795857905658,0.859601739991425,0.384564421058348,2.23526070775279,0.0254002380298177,0.133314454557232
"1110004E09Rik",167.657883469828,-0.390836526870856,0.202982079472017,-1.92547306583652,0.054170202399204,0.218278900325521
"1110004F10Rik",387.231208808314,0.0410895395304875,0.182305992372321,0.225387761509073,0.82167763162939,0.934885101172934
"1110005A03Rik",218.204671891589,-0.383283460209638,0.218215336735413,-1.75644602228105,0.0790122804241904,0.276213964269819
"1110006G14Rik",5.7498857716052,0.0788944308993911,0.984337099324911,0.0801498094032008,0.936118107963182,0.979010247815166
"1110007C09Rik",129.193635514328,-0.0332138232970475,0.267860600249765,-0.123996673142961,0.901317909182739,0.966028342621496
"1110008E08Rik",0,NA,NA,NA,NA,NA
"1110008F13Rik",319.738527330645,-0.478991001803052,0.258180858560823,-1.85525373365435,0.0635600017064754,0.241152475610327
"1110008J03Rik",90.5183687004801,-0.00433775173938722,0.305792318667137,-0.0141852867929916,0.988682158245725,0.996498971795544
"1110008L16Rik",203.537197391437,-0.422504486120338,0.222499112831734,-1.89890413828239,0.0575770811439724,0.226233234357937
"1110008P14Rik",281.747635583154,0.1185194754879,0.366244737198861,0.323607313498534,0.74623535031374,0.899422671412052
"1110012D08Rik",50.3664954348191,0.509018072516335,0.337034126290227,1.5102864452308,0.13097034892823,0.375979934120906
"1110012J17Rik",124.821245498695,0.568126406341354,0.334588727672815,1.69798429939011,0.0895107251817844,0.29974094139839
"1110012L19Rik",134.495875778519,-0.00760985028394872,0.251873207002551,-0.0302130201719775,0.975897164676816,0.991349811192744
"1110014N23Rik",282.997356415358,0.148391594760973,0.201532998226744,0.736314132507564,0.461539547508378,0.733560432763449
"1110017D15Rik",0.973317092809444,1.20773859823621,2.06057995721485,0.586115862190874,0.557797657502749,NA
"1110017F19Rik",55.7765671967888,0.437157528870236,0.3058508861617,1.42931588120074,0.152913463453875,0.412353604832527
"1110018G07Rik",649.015843082078,-0.0782136022883622,0.158218188710989,-0.494340144616572,0.62106597814643,0.834912160904551
"1110018J18Rik",1296.35923372836,0.0415243916918875,0.136310967233433,0.30462986606776,0.760648070669567,0.906650444748699
"1110020G09Rik",1159.9520371558,-0.302512084900374,0.179134983312162,-1.68873817557576,0.0912696163206562,0.303350733271242
"1110021J02Rik",59.9691804367227,0.0222539984873837,0.308570861542054,0.0721195720690263,0.942506750523591,0.980448572081178
"1110021L09Rik",175.594460331232,-0.400558429661287,0.223077401779196,-1.79560290045768,0.0725576942774747,0.262060423612873
"1110025L11Rik",0,NA,NA,NA,NA,NA
"1110028C15Rik",1444.85942432835,-0.192674372935609,0.209762371843326,-0.918536395457616,0.358338113755817,0.656217209142716
"1110031I02Rik",115.174477899241,-0.348891417857874,0.241093774039679,-1.4471191520709,0.147863554862831,0.40398980460221
"1110032A03Rik",377.517911103855,-0.193163660752723,0.178874847470479,-1.07988162385213,0.28019489727417,0.579655509326657
"1110032A04Rik",274.058782016678,0.946194887560674,1.24697569342148,0.758791765190293,0.447977132480031,0.724733145609383
"1110032F04Rik",41.4085031685061,-2.25495016353848,0.586013926874992,-3.84794637145118,0.000119112118495223,0.00287103579734285
"1110034A24Rik",94.4171404904978,0.0660493449099958,0.265700566679229,0.248585638094385,0.803681318975845,0.927181572839747
"1110034B05Rik",112.933238141772,-0.230151936744122,0.242890000269451,-0.947556245579488,0.343355409742717,0.643417530669877
"1110034G24Rik",66.4114170215108,2.45423512804487e-05,0.290397182361999,8.45130489243351e-05,0.999932568343157,0.99996339760466
"1110037F02Rik",956.464742511642,0.0544891108809424,0.158989095228555,0.342722315657006,0.731807372919617,0.893473672527426
"1110038D17Rik",1269.04888148413,-0.471115622934929,0.152759941179928,-3.08402595141109,0.00204219780544794,0.0222540442754652
"1110038F14Rik",112.649693142948,0.119200530577567,0.256399804612703,0.464901019552731,0.642002340363797,0.846401830184635
"1110049F12Rik",261.698216282874,0.152632826639239,0.204114188062428,0.747781563291213,0.454591924468112,0.729447232619767
"1110051M20Rik",178.733343244711,-0.039855556963506,0.221761102175965,-0.179722938659825,0.857370084216795,0.949996082241246
"1110054O05Rik",187.055167180046,0.245146334931568,0.223964162749983,1.09457840005069,0.273701382836664,0.573041459686008
"1110057K04Rik",420.088721377372,-0.127329310976222,0.202408963134629,-0.629069528366347,0.529303538520781,0.778973310923777
"1110057P08Rik",0,NA,NA,NA,NA,NA
"1110058L19Rik",235.619548909465,-0.369689865074167,0.240051896865531,-1.54004142396448,0.123550256444158,0.363416306323099
"1110059E24Rik",240.360464199487,-0.326333758547706,0.183571804706205,-1.77768998387297,0.0754547856226935,0.269118497347344
"1110059G10Rik",134.664798357392,-0.342008103576111,0.232622703087958,-1.4702266762277,0.141500372100398,0.393158121383251
"1110059M19Rik",1.2594936700807,0.161943875816574,2.3729971705298,0.0682444453907282,0.945591047111681,NA
"1110065P20Rik",94.3995711464711,-0.290791968493276,0.33099305051179,-0.87854402998385,0.379648554420904,0.674486592503743
"1110067D22Rik",480.193666371772,0.0568664979591575,0.178448802569346,0.318671221887628,0.749975839376779,0.900640862164146
"1190002H23Rik",777.908040146642,1.06096838228382,0.341909223328636,3.10307037626778,0.00191524089881792,0.0212928267885378
"1190002N15Rik",361.117620884465,0.425692027672657,0.288542754539269,1.47531698847327,0.140127341178404,0.391047760934057
"1190003J15Rik",36.82692305321,0.0571327117567896,0.409608882910891,0.139481134663817,0.889069962568672,0.961626899230417
"1190005F20Rik",312.306248425729,-0.0403646343475831,0.20888342997325,-0.193240001625558,0.846771012318055,0.946496039737359
"1190005I06Rik",17.3183256426679,0.0632888422805708,0.772457189753896,0.0819318444051696,0.934700911385862,0.978479482052961
"1190007I07Rik",72.5005347187351,-0.457855437781876,0.273220629536188,-1.67577184255493,0.0937828914612433,0.308238295361301
"1200009I06Rik",128.534343141457,-0.723186145098904,0.252166310504124,-2.8678935883748,0.00413214486173275,0.0372488059259481
"1200011I18Rik",635.148142681055,0.0109546749502822,0.145109913497275,0.0754922574637736,0.939823057608154,0.979453784686535
"1200011M11Rik",201.652758306952,0.326580324821499,0.224968998906253,1.4516681249828,0.146593906337371,0.402180954577738
"1200014J11Rik",363.328321703121,0.0777423314315309,0.171422373011163,0.45351333122934,0.650179146027334,0.851825753892389
"1200016B10Rik",487.869750955574,-0.0653159158913472,0.175451659750944,-0.372273000916971,0.70968959848354,0.882733399416583
"1300001I01Rik",2323.1948659122,-0.612031790263561,0.185153205750893,-3.30554249807046,0.000947927274457355,0.0129783837656413
"1300002K09Rik",154.42168980866,-2.26253906825328,0.358538450542704,-6.31045028735014,2.78224774577254e-10,6.47060590604668e-08
"1300010F03Rik",2750.82167405356,-0.137741983249482,0.138358890074408,-0.995541256332762,0.319473089191778,0.619926921297835
"1300014I06Rik",124.769554722195,0.738618220362302,0.245823386890838,3.0046702622737,0.0026586890674584,0.0270266029834371
"1300017J02Rik",15.7612603672777,-1.52570762100795,0.688106739277827,-2.21725429198557,0.0266057194318595,0.13684531722125
"1300018I17Rik",153.770598574154,-0.0430899558235597,0.223823641180928,-0.192517446308221,0.847336903332781,0.946583727272844
"1300018J18Rik",315.742447009908,-0.10691449117313,0.183691375367673,-0.582033266173397,0.560544273771689,0.799824545727666
"1500001M20Rik",109.231441002281,0.140250770203528,0.229840780935083,0.610208378308375,0.541723780430029,0.7874876477068
"1500002C15Rik",3.01251619857036,-0.153363623103576,1.27241484970772,-0.120529576606878,0.90406365167868,NA
"1500002O20Rik",138.588183070209,0.435945489503326,0.281586992786926,1.54817339106711,0.121580556006924,0.360137929239099
"1500003O03Rik",1816.15504270155,0.0332459932585868,0.167942614337953,0.197960436602978,0.843076018123764,0.944866540784989
"1500009C09Rik",0.0869502853859228,-0.695382347136915,4.07001672854354,-0.170854911298057,0.864337850829868,NA
"1500009L16Rik",16.4869459101009,-0.173317349911014,0.619335934731485,-0.279843845951157,0.779597310858408,0.915609537843254
"1500010J02Rik",181.568541900213,0.0254608640523658,0.229503538131162,0.110938873795553,0.911664819017809,0.969940129531188
"1500011B03Rik",23.494460411373,0.541473738352625,0.533028863176346,1.01584318553775,0.309704067395078,0.609422250156562
"1500011H22Rik",69.151717376401,-0.0711917283427968,0.278902276759103,-0.255256892019879,0.798524692479877,0.924805515314851
"1500012F01Rik",204.057671421686,0.296292935840663,0.22487858316841,1.3175684925886,0.187648138688745,0.465366843526523
"1500015O10Rik",40.4737244805507,-1.35998429768983,0.753128910227643,-1.80577890347983,0.0709528820393579,0.259029883235523
"1500031L02Rik",276.045398797903,-0.244230322549286,0.185745180893995,-1.31486761257439,0.18855439921301,0.46664699341031
"1500032L24Rik",650.292473711586,-0.2581298058569,0.152795210603694,-1.68938414258555,0.091145837865699,0.303114950660615
