"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"0610007C21Rik",1111.51072845179,-0.226062602718568,0.14432989855756,-1.56629087235458,0.117280536887618,0.274900274243969
"0610007L01Rik",576.023699377735,0.0530979406920523,0.154042981524489,0.344695617850081,0.73032321291771,0.864530139851579
"0610007P08Rik",422.35030659092,0.201069525570685,0.209762860139755,0.958556369019387,0.337782281514262,0.553607583406682
"0610007P14Rik",278.77542943516,-0.294181022889982,0.190514972665737,-1.54413597405874,0.122555395517348,0.283506454666321
"0610007P22Rik",130.93542376388,0.0369856309788127,0.233548200081925,0.158364016360814,0.874169966714473,0.945428189635531
"0610009B22Rik",297.537835754763,-0.569153080960704,0.197272190807408,-2.88511562948248,0.00391269924074015,0.0205069008554233
"0610009D07Rik",590.234858013349,-0.378282608336441,0.146905091452677,-2.57501359956812,0.0100236145370111,0.0433319431276524
"0610009L18Rik",30.400244171551,-0.265926001047151,0.447945842982622,-0.593656588654777,0.55274182388504,0.742574923326767
"0610009O20Rik",644.640720476803,0.0846334855020706,0.172761551787981,0.489886115435777,0.624214488618441,0.793883413064036
"0610010F05Rik",355.149494624441,-0.292680791683609,0.257841631380145,-1.13511844505862,0.256325694201067,0.464180031696453
"0610010K14Rik",99.1814045663442,-0.171964529742777,0.300272353027189,-0.572695181588051,0.566851100512593,0.753447331632148
"0610010O12Rik",986.97714021847,-0.841689721361442,0.202181721935661,-4.16303567554583,3.14044277644874e-05,0.000381831716575212
"0610011F06Rik",1098.13251686995,-0.690057761234767,0.16885811936982,-4.08661285468575,4.3771661676953e-05,0.000501177014195657
"0610011L14Rik",436.127228271329,0.0468246900963022,0.170311254801732,0.274935970325703,0.783365431319539,0.895739927429672
"0610012H03Rik",550.693436701759,-0.650591929489511,0.259399452117744,-2.50806979034867,0.0121392688353137,0.0501959307431854
"0610030E20Rik",345.629034962833,0.367692694987043,0.181933505199261,2.02102792767243,0.0432768741639258,0.132867723893049
"0610031J06Rik",770.53107250269,-0.356827759556835,0.155302022987388,-2.29763754967836,0.0215824266422191,0.0779814238926527
"0610037L13Rik",292.658661204924,-0.334833182882985,0.168483003718112,-1.98734101062913,0.0468846199006923,0.140528351067859
"0610037P05Rik",366.743523133232,-0.181146451926314,0.153979518311828,-1.17643212494969,0.239422240750523,0.444443475932993
"0610039K10Rik",23.3081081711338,1.22508179968597,0.463824626989768,2.64126078780418,0.00825981128450275,0.0373341891099989
"0610040J01Rik",270.798090587995,-0.631815190305422,0.240253268555445,-2.62978811528474,0.00854381004471883,0.0381647224891786
"0910001L09Rik",541.136440310264,-0.409941415343596,0.151860467353086,-2.69946104136802,0.0069451886880423,0.0325124652902119
"1100001G20Rik",70.4237809139248,1.74986283295,1.58874318768014,1.10141327215076,NA,NA
"1110001A16Rik",199.413527455882,-0.592221518977165,0.229847294124281,-2.57658686491626,0.0099781130781503,0.0431761662439981
"1110001J03Rik",319.451259216108,-0.606199927028256,0.230085388491096,-2.63467372267194,0.00842181948868373,0.0377863386453658
"1110002B05Rik",561.108266933989,-0.550914123321352,0.217659389605222,-2.53108365469815,0.0113710724974039,0.0477757889383096
"1110002E22Rik",2.25798758788889,0.881435563250605,1.4499401546781,0.607911685462836,0.543246048909199,NA
"1110002L01Rik",29.8889778153253,-0.0280834798022771,0.441672578095003,-0.0635843862514742,0.949301164548416,0.976622742831381
"1110002N22Rik",145.290960827742,-0.599014152440076,0.217206185880297,-2.75781350338795,0.00581893857003285,0.0281130551729633
"1110003E01Rik",1113.5474070177,0.154224848361383,0.138074584616828,1.11696767938411,0.264008144782801,0.472278935602338
"1110003O08Rik",41.3101317679071,1.12050015544396,0.39029830499963,2.87088142861657,0.00409329031592466,0.0212746140266135
"1110004E09Rik",176.639449145537,-0.256219807042232,0.217011673048965,-1.18067292621821,0.237732680749054,0.442765671129598
"1110004F10Rik",352.324435949012,-0.269001535091559,0.183534335961551,-1.46567416762775,0.142737074949694,0.314393915444867
"1110005A03Rik",211.13983183192,-0.523358141553618,0.19548340010741,-2.67725106718041,0.00742289887719057,0.0342998845533403
"1110006G14Rik",4.57169129963004,-0.698062862449355,1.01147847539197,-0.69014109487485,0.490105462277324,0.69323871427666
"1110007C09Rik",152.077261765181,0.377882485632375,0.246263119833143,1.53446641092021,0.124914950497066,0.286969329041428
"1110008E08Rik",0,NA,NA,NA,NA,NA
"1110008F13Rik",310.261035068408,-0.616478644510007,0.213001293990526,-2.89424835389699,0.00380067418969811,0.0200491555468898
"1110008J03Rik",91.9786996027734,0.0152659314857063,0.30439146244978,0.0501522985002411,0.960001023964721,0.982154862703117
"1110008L16Rik",205.94492031116,-0.415193858896713,0.242965203260316,-1.70886140618197,0.0874766248978282,0.222757686768716
"1110008P14Rik",238.983847576149,-0.408846867140092,0.253010240937682,-1.61593011265024,0.106109424177637,0.255747684670714
"1110012D08Rik",60.5265053372599,0.907859151609144,0.317857750722401,2.85618063283288,0.0042877112170566,0.0220962473821366
"1110012J17Rik",103.012281208705,0.0489230936008162,0.266226910731111,0.183764644477389,0.85419809336018,0.935627396701283
"1110012L19Rik",138.976713867803,0.0582535180614433,0.270724594361111,0.215176305643442,0.829629863601133,0.922760853583082
"1110014N23Rik",283.25700992019,0.124857433940359,0.20275873227073,0.615793127832568,0.538031063590316,0.731029170324639
"1110017D15Rik",1.00984971282947,1.26399302640747,2.06661864326994,0.611623741285669,0.540786726649392,NA
"1110017F19Rik",48.3420003046766,0.0301227297149574,0.356243784450923,0.0845565060493207,0.932613978318784,0.970490947833528
"1110018G07Rik",648.834887481007,-0.109580290460334,0.141144824656233,-0.776367753668784,0.437531878658625,0.649568201690209
"1110018J18Rik",1413.21327718105,0.250281535626965,0.201429130654374,1.24252899674385,0.214041448753968,0.413523226928158
"1110020G09Rik",967.962592770048,-1.01075368282507,0.211501603394059,-4.77894099432374,1.76220895987307e-06,3.30061376334338e-05
"1110021J02Rik",63.5925551845623,0.148430794573522,0.347310616632039,0.427371889788149,0.669108478477293,0.826053538028873
"1110021L09Rik",188.862740481056,-0.200041088707157,0.212359926477534,-0.941990760805426,0.346197370196768,0.561893116058687
"1110025L11Rik",0,NA,NA,NA,NA,NA
"1110028C15Rik",1306.91771463254,-0.560855665983693,0.231418393141823,-2.42355699721749,0.0153693412397476,0.0601680026259047
"1110031I02Rik",129.504965033511,-0.0224704469101198,0.274064045902749,-0.0819897656991219,0.934654851843963,0.971119060382128
"1110032A03Rik",365.674787713673,-0.321689608729492,0.15601323232702,-2.06193797751204,0.039213641258897,0.123276659914881
"1110032A04Rik",158.073684571166,-0.56935927687464,1.08815715015203,-0.523232583450922,0.60081240932836,0.777000716698323
"1110032F04Rik",41.1222064443744,-2.38294354452658,0.572268707152604,-4.16402909112962,3.12680249015646e-05,0.00038053540912558
"1110034A24Rik",91.7438244486376,-0.0311085953851341,0.264379156047389,-0.117666596150106,0.906331835275435,0.959736684229639
"1110034B05Rik",106.364291795881,-0.443139643745913,0.239366211501031,-1.85130407908054,0.064125819599046,0.178086059818145
"1110034G24Rik",78.3889290716316,0.428090641049253,0.289208482445283,1.48021467914671,0.138815964213236,0.308421755473354
"1110037F02Rik",952.908686617015,0.0152246687033396,0.16008772990408,0.0951020338189677,0.924233782646215,0.967472373296701
"1110038D17Rik",1298.04766935105,-0.426766550186262,0.145564650946133,-2.93180073192487,0.00337002905022445,0.0182215293311336
"1110038F14Rik",123.559485094218,0.332406615285487,0.257170362929919,1.29255413220407,0.196165312216558,0.388729501495401
"1110049F12Rik",263.507635894307,0.150608827720164,0.195300602625882,0.771164173050049,0.440609627028017,0.652120836108397
"1110051M20Rik",184.596891533487,0.0246447453936842,0.198615140822297,0.124082913778129,0.901249626431942,0.957403886041921
"1110054O05Rik",177.706218939631,0.077882922323108,0.21075377131663,0.369544619944661,0.711721821121961,0.85403809660777
"1110057K04Rik",409.530306754082,-0.231980258020092,0.175948673805114,-1.31845414349096,0.187351666145349,0.377307726393405
"1110057P08Rik",0.176433018205444,1.11881908162408,4.0804728567969,0.274188585707769,0.783939699407597,NA
"1110058L19Rik",234.360224152235,-0.411067382535296,0.195870151888981,-2.09867291453518,0.0358457438944769,0.115413679115239
"1110059E24Rik",253.718695484084,-0.181176125508342,0.182704558710817,-0.991634400294879,0.321375902008186,0.536990344416133
"1110059G10Rik",126.70647644151,-0.592755361470305,0.255327908048819,-2.32154552160028,0.0202574202382252,0.0746276489107316
"1110059M19Rik",0.586168484537925,-2.60108504144629,3.47109698416797,-0.74935533444041,0.453643064467501,NA
"1110065P20Rik",95.2674269543119,-0.269423798379275,0.277228623626053,-0.971846971843336,0.331126683929866,0.547466010820357
"1110067D22Rik",585.358820689597,0.547936900695733,0.261168246452185,2.09802266599837,0.0359031431674326,0.115537315364874
"1190002H23Rik",1178.51168317544,1.86045531575836,0.370228028753241,5.02516063417328,5.03011325883871e-07,1.10559465278307e-05
"1190002N15Rik",284.882538083301,-0.263132819082518,0.238235877084209,-1.10450542673516,0.269373950806307,0.478848493041
"1190003J15Rik",63.1479620087575,1.30517535741346,0.383840688215619,3.40030485950019,0.00067310761316471,0.0048966767906457
"1190005F20Rik",313.620374639684,-0.059319307493567,0.208029854728655,-0.285148050364888,0.775530718542407,0.891578829617884
"1190005I06Rik",20.0271102221666,0.447205092404226,0.707177540590384,0.632380225241428,0.527138452396922,0.721262040581793
"1190007I07Rik",74.3537489687462,-0.410326441438439,0.269925068130031,-1.52014944103217,0.128473420997389,0.292638359252762
"1200009I06Rik",140.44287919501,-0.446462292208314,0.250067977002339,-1.78536371413977,0.0742023403401811,0.197616539390646
"1200011I18Rik",579.609351056698,-0.300078996650907,0.194842374781097,-1.54011157474364,0.123533158850201,0.285087339266822
"1200011M11Rik",191.83419662531,0.166746815769779,0.223729942607101,0.745303975975212,0.45608797807274,0.665100957952118
"1200014J11Rik",380.175388585823,0.171177484076082,0.177716985265737,0.963202722689248,0.335445799039486,0.55165759595036
"1200016B10Rik",455.762682321253,-0.307377889298739,0.220898702717027,-1.39148797850793,0.16407750253417,0.345045058066958
"1300001I01Rik",2371.64187116312,-0.574165366575292,0.164438422870066,-3.49167400510146,0.00048000369857743,0.00371519196993978
"1300002K09Rik",208.095994944104,-0.702969745020261,0.353509542553247,-1.98854531604158,0.0467514123992116,0.140270909513831
"1300010F03Rik",2911.1077211959,-0.00177599243366113,0.145727497901643,-0.0121870783430304,0.990276359049829,0.995295665150462
"1300014I06Rik",178.63276448814,1.47929651383425,0.267528018380777,5.52950125668236,3.21142500690148e-08,1.02623022868867e-06
"1300017J02Rik",71.8305835139235,2.32181172032866,1.64747814845455,1.40931260454452,NA,NA
"1300018I17Rik",151.452183358893,-0.122310719254651,0.288580549700524,-0.42383563057725,0.671685690977788,0.827551972749901
"1300018J18Rik",322.655500081406,-0.0692155884498193,0.174593581144351,-0.396438334079379,0.691781691202504,0.841344892840486
"1500001M20Rik",97.5752480612434,-0.217983668973181,0.279042257779169,-0.781185153489154,0.434693604403954,0.647356361236027
"1500002C15Rik",4.1161198011147,0.534591294389519,1.06317632427875,0.502824679389079,0.615087540620657,0.787656100188105
"1500002O20Rik",151.799016105853,0.62640763624653,0.280695733823493,2.23162506858914,0.0256397533751009,0.0892020718825563
"1500003O03Rik",1837.7676167471,0.0388760478056166,0.184923468168145,0.210227767144557,0.833489908731736,0.924270467779063
