"","Liver_LTDR_rep1","Liver_LTDR_rep2","Liver_LTDR_rep3","Liver_LTAL_rep1","Liver_LTAL_rep2","Liver_LTAL_rep3","Liver_Young_rep1","Liver_Young_rep2","Liver_Young_rep3","Liver_STDR_rep1","Liver_STDR_rep2","Liver_STDR_rep3"
"0610007C21Rik",946.254837785135,919.44973526541,972.685487922802,919.479983725975,957.61029683845,660.076718370993,624.247823284528,734.116426752848,729.907247654659,1129.89480411577,936.454985232404,1089.3804736859
"0610007L01Rik",831.641991849565,774.576724158237,897.409372772479,809.465364377861,880.964535375006,733.211979185807,543.987388862231,876.825574510407,1046.04541861336,649.766620747195,630.696791258932,692.841575276474
"0610007P08Rik",392.758654974332,396.754496327599,381.546583654088,250.308491727817,194.846453840803,235.520331437537,321.041737689186,368.986715373148,272.746657297707,222.072136204738,354.27333176262,356.885008568486
"0610007P14Rik",878.465532567146,876.646345620109,692.245058931402,845.80046801577,774.768600817222,857.789838709347,838.275648410651,773.972134685139,652.422401831447,854.360857343226,496.433968075009,703.856544676736
"0610007P22Rik",103.431104868685,114.416753090324,84.8701298263446,171.582433845681,126.511678560142,113.421633297551,71.3426083753746,105.424775820899,145.671510147639,119.260962035878,109.441124780173,114.555681762724
"0610009B22Rik",157.942092569749,164.628421712696,169.002258523765,312.885614659772,287.190744760615,304.317059831134,187.274346985358,185.136191685482,218.507265221458,248.803041488641,248.216984037505,182.848492044348
"0610009D07Rik",413.724419474742,400.047064761852,416.232636713551,726.70207275818,588.233133159202,544.795714035777,505.343475992237,424.270439279229,420.742712820042,538.730552644826,435.507981083986,407.55386780969
"0610009L18Rik",3.49429408340153,1.64628421712696,4.42800677354842,6.05585060631816,16.6219723655662,11.7760165718769,8.91782604692182,3.85700399344754,7.74848458232122,7.1967821918202,6.76955411011376,5.50748470013095
"0610009O20Rik",380.179196274087,434.619033321519,350.55053623925,446.114327998771,361.066177496465,373.733578570619,413.192606840711,417.84209929015,403.696046738936,324.883310373598,389.249361331541,415.264346389874
"0610010F05Rik",563.280206244327,480.714991401074,543.90683201753,405.741990623317,298.272059670993,367.535675111736,297.260868230727,332.988011434304,347.906957746223,371.148338749584,407.301505625178,363.493990208643
"0610010K14Rik",42.6303878174987,61.7356581422612,39.114059833011,111.0239277825,88.6505192830195,78.0935835819203,71.3426083753746,30.8560319475803,64.3124220332661,52.4336988261186,72.2085771745468,42.9583806610214
"0610010O12Rik",150.953504402946,108.65475833038,162.360248363442,106.986694044954,103.425605830189,122.098698139987,83.2330431046037,78.4257478667666,68.9615127826589,139.82319686965,119.595455945343,136.585620563248
"0610011F06Rik",1127.95813012202,1093.95586228087,1243.53190223818,1237.41214055768,1042.56704448468,911.091808455737,811.522170269886,1136.53051006921,1029.77360099049,1078.48921703134,706.290145488536,947.287368422524
"0610011L14Rik",340.344243723309,365.475096202186,332.100508016131,423.909542442272,377.688149862031,345.223222659759,279.425216136884,307.274651477987,417.643318987114,368.064003524519,366.684180964496,353.580517748407
"0610012H03Rik",164.231821919872,167.097848038387,167.526256265915,214.982696524295,294.5782880342,261.551525964844,291.315650866113,215.992223633062,212.308477555601,117.2047385525,118.467196926991,167.427534883981
