"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"0610007C21Rik",1132.38244486554,0.164366924204939,0.185736706945781,0.884945829544184,0.376185848508871,0.546158195986572
"0610007L01Rik",1037.74374024653,0.0490543614227436,0.15050396884115,0.325934005597675,0.744474286591986,0.842901735581155
"0610007P08Rik",390.090277543869,0.783807733483424,0.172697292898263,4.53862200344491,5.66230318654404e-06,6.63286025825818e-05
"0610007P14Rik",1037.59915038431,-0.0167773684569422,0.163143047633541,-0.102838390604473,0.918091235481714,0.952189602109662
"0610007P22Rik",150.49301205087,-0.437194142087398,0.258111836673152,-1.69381671031623,0.0903001177366061,0.196084371041499
"0610009B22Rik",293.98561555808,-0.878452839379441,0.166344943764747,-5.28091097630111,1.28543141279602e-07,2.30756127026766e-06
"0610009D07Rik",650.829193388176,-0.593590087682762,0.17243492058366,-3.44240067889711,0.000576575547815396,0.00342133605125765
"0610009L18Rik",9.26236075071707,-1.84016175750731,0.795539609791723,-2.31309885121757,0.0207172048688334,0.0636397628313768
"0610009O20Rik",494.306816028482,-0.0168098804867161,0.179258371367327,-0.093774591158536,0.925288216041641,0.956435604736538
"0610010F05Rik",560.156753861013,0.568927832629634,0.180982345296529,3.1435543157399,0.00166909436673067,0.00830277879869432
"0610010K14Rik",88.7577517701731,-0.950143318211904,0.303315568288312,-3.13252406915283,0.00173310216851163,0.00853541061947724
"0610010O12Rik",158.857099707317,0.343027585095029,0.239465513000523,1.43247176095156,0.152008854189942,0.288377266525014
"0610011F06Rik",1402.16085589947,0.120949144670945,0.169249493757087,0.714620422112079,0.474843622097052,0.63770884122671
"0610011L14Rik",460.234848150262,-0.140567687570097,0.165624991325262,-0.848710610912843,0.396042340380398,0.56573519346399
"0610012H03Rik",267.418286617032,-0.628057071073638,0.194385163665365,-3.23099283520856,0.00123361032088273,0.00649863211929707
"0610030E20Rik",398.038129444876,-0.510803104060407,0.211487083010692,-2.41529220975913,0.0157225905430381,0.0512867889598782
"0610031J06Rik",544.573541569288,0.0170471243507762,0.183306586412538,0.0929978823151016,0.925905243600681,0.956806928741835
"0610037L13Rik",297.864671282015,-0.419363711638531,0.197741974445967,-2.12076223479362,0.033941816262848,0.0939467147526068
"0610037P05Rik",359.053540267329,-0.777708754978467,0.190201401450233,-4.08886974043646,4.33480174743858e-05,0.000379086302709618
"0610039K10Rik",11.2605455200862,0.322369437376094,0.622794688107043,0.51761751269254,0.604725160550381,0.744501486378101
"0610040J01Rik",337.282067559591,0.545644697271537,0.174524941201502,3.12645684631143,0.0017692646851323,0.00868470790153881
"0910001L09Rik",660.664067251697,-0.114303991227574,0.144481744788173,-0.791131027626758,0.428867534791701,0.596456670216007
"1100001G20Rik",12038.6630127517,-1.95841866470476,0.164652005322589,-11.8942897832783,1.26726469212992e-32,7.13863310711531e-30
"1110001A16Rik",164.821268433253,-0.610767216763326,0.213539962744541,-2.86020100834236,0.00423372565293258,0.0178482947784017
"1110001J03Rik",344.196689617808,-0.318711290585524,0.201826075404277,-1.57913832465461,0.114304332767155,0.233643090601131
"1110002B05Rik",882.45790802765,-0.123537154920561,0.178390339453455,-0.69251034164209,0.488616893679241,0.648946794727162
"1110002E22Rik",8.73538801375124,2.87557629016021,0.888132258437704,3.23777935419054,0.00120463937331933,0.00637066649483476
"1110002L01Rik",33.0069897599697,0.585335420072898,0.39928250242661,1.46596812160704,0.142656971729171,0.275336045624732
"1110002N22Rik",164.602071374651,-1.08382785168564,0.213603289341208,-5.07402229164337,3.89493398186452e-07,6.31853441189065e-06
"1110003E01Rik",1220.98582025149,-0.347351362126989,0.154506806709784,-2.24812983663195,0.0245679120317388,0.0726672842568323
"1110003O08Rik",113.043894222354,1.18099668342596,0.28644709410251,4.12291382157755,3.74109690041975e-05,0.000333594754177168
"1110004E09Rik",164.591172598519,-0.0472397291020014,0.243844110500531,-0.19372921906965,0.846387911743246,0.907842587030382
"1110004F10Rik",402.773742914235,-0.439697140442394,0.185538589571872,-2.36984199059069,0.0177956886983742,0.0563392191040003
"1110005A03Rik",294.077313373974,-0.8840834977735,0.238153367123663,-3.71224437618147,0.000205429495652779,0.00143659941822937
"1110006G14Rik",7.32249111599608,-1.99724437539545,1.00409042354948,-1.98910808085904,0.0466892745881133,0.119829692014363
"1110007C09Rik",85.3928993553237,0.0884300570948951,0.272080431359596,0.32501439612179,0.745170176162945,0.843479767031449
"1110008E08Rik",0,NA,NA,NA,NA,NA
"1110008F13Rik",633.930616553832,0.321990226475962,0.158647491405565,2.02959544852071,0.0423976779433213,0.111477300319024
"1110008J03Rik",43.906912743119,-0.178576700973225,0.384234661935204,-0.464759478163217,0.642103709355869,0.772358898169316
"1110008L16Rik",232.364406756753,-0.111399197287729,0.23496957323128,-0.474100521849605,0.635428226496433,0.767323736549803
"1110008P14Rik",240.936613186821,-1.39867908281278,0.263704095079661,-5.30397179607796,1.13309826899198e-07,2.0658809511443e-06
"1110012D08Rik",21.4543158707281,-0.372492148289197,0.451269693438412,-0.825431341180979,0.409126747600307,0.577757135961152
"1110012J17Rik",4.99934457486196,-0.0577858172156586,1.01854481897501,-0.056733701000816,0.954757327723424,0.973225739778476
"1110012L19Rik",228.675524461884,-0.15557217285449,0.186294293047541,-0.835088237591849,0.403668028881414,0.573269661810552
"1110014N23Rik",279.570527135788,-0.531593826151249,0.216440258749604,-2.45607646757732,0.0140463265199833,0.0467809969481035
"1110017D15Rik",0.349295067256205,-0.146773238505873,4.0804728567969,-0.035969664217075,0.971306547742137,NA
"1110017F19Rik",10.1702200253173,-0.690606437057827,0.74152403606417,-0.931333852269171,0.351680896057715,0.522135700990533
"1110018G07Rik",832.356572365852,0.0955483643755419,0.136328649644861,0.700867826567983,0.483385504578072,0.644566615197729
"1110018J18Rik",2347.72240932062,0.353939175507514,0.156228709401711,2.26551942253731,0.0234808235202854,0.0700607731556863
"1110020G09Rik",4040.85487738569,0.375270568405267,0.178668101795456,2.10037810126223,0.035695593821247,0.0977246892347731
"1110021J02Rik",63.5249224949117,-0.0194993279241697,0.312759866024869,-0.0623460042108445,0.950287293645816,0.971275306825881
"1110021L09Rik",42.7883102789968,-0.519928210088178,0.379383583540813,-1.37045521378562,0.170544846691077,0.313564503719239
"1110025L11Rik",0,NA,NA,NA,NA,NA
"1110028C15Rik",644.405025078323,1.05857790804871,0.174361718650991,6.0711600931601,1.26989511635515e-09,3.79250578076374e-08
"1110031I02Rik",75.6606084057386,0.819969220169216,0.27500964731261,2.98160165718527,0.00286744829345711,0.0129641295270638
"1110032A03Rik",329.073762333106,-0.0759775961985601,0.176510038469208,-0.430443485580082,0.666873068485491,0.790339411403002
"1110032A04Rik",0.147127651415729,0.814999433707758,4.0804728567969,0.199731615013736,0.841690486728877,NA
"1110032F04Rik",0.13002109595028,-1.10855391793473,4.0804728567969,-0.271672905773211,0.785873536047611,NA
"1110034A24Rik",86.055424013739,0.130769915197469,0.259840951312842,0.503269074935094,0.614775105886663,0.751887858783
"1110034B05Rik",108.224556388832,-1.02212431040538,0.340042997894533,-3.00586783652108,0.00264824074508575,0.0121419199583836
"1110034G24Rik",140.69505597909,-0.308609078260399,0.26876807130774,-1.14823563959366,0.25087130022697,0.414717016849603
"1110037F02Rik",762.982013914922,-0.364700883333395,0.148495436754962,-2.45597367369074,0.0140503450049515,0.0467848422341802
"1110038D17Rik",2710.89182396858,-0.0510809638811187,0.196657383001267,-0.259745975978891,0.795059725745886,0.876845748924375
"1110038F14Rik",68.7398738600292,-0.816103556743726,0.290180420061563,-2.81240049404637,0.00491732353280072,0.0201901031505514
"1110049F12Rik",374.644954319086,-0.343463662879765,0.209917859330367,-1.63618123762983,0.101801661982327,0.214667864998489
"1110051M20Rik",55.4476568589709,-0.0768539978128787,0.317724025991722,-0.241889160169717,0.808866049694267,0.88561045221473
"1110054O05Rik",99.9898224166769,-0.451699949569323,0.250816343225544,-1.80091912576501,0.0717156279844457,0.1653325569791
"1110057K04Rik",734.398549951255,0.296118322496714,0.166103635404364,1.78273233921607,0.0746298844096806,0.170296660387839
"1110057P08Rik",0,NA,NA,NA,NA,NA
"1110058L19Rik",308.410678355934,-0.789464395455823,0.188652216542071,-4.18476077263458,2.85466572336778e-05,0.000265297762126484
"1110059E24Rik",318.196424018318,-0.347518885570574,0.169503181841451,-2.05022042533476,0.0403429256766749,0.107388305988946
"1110059G10Rik",117.300580744824,-0.54800266475682,0.251899360354931,-2.17548255773526,0.0295939737953367,0.0841949069872206
"1110059M19Rik",0,NA,NA,NA,NA,NA
"1110065P20Rik",131.436997516474,-0.367898538870716,0.270951167221101,-1.35780385315891,0.174525931969241,0.318446959080702
"1110067D22Rik",680.070014739324,-1.86039972652231,0.287305763506718,-6.47533033732129,9.46047365771778e-11,3.54463985487334e-09
"1190002H23Rik",4.78517998489533,-1.04035080560074,1.26483316413918,-0.822520182975109,0.410780904605476,0.579273591988413
"1190002N15Rik",1038.25208703087,1.26381098530711,0.236430652232399,5.34537706246671,9.02290220148672e-08,1.67879419548391e-06
"1190003J15Rik",3699.31491422031,-0.192974643556706,0.17416041068715,-1.10802818387557,0.267849644230344,0.43365627236342
"1190005F20Rik",298.527104331051,-0.179549060498171,0.190205044401216,-0.943976333873842,0.345181742120159,0.515579129493912
"1190005I06Rik",102.286859308738,1.45196986912162,0.309218075738086,4.69561769846686,2.65802263318274e-06,3.4516262111028e-05
"1190007I07Rik",119.462549565026,-0.262064008833465,0.268213528992903,-0.977072296902666,0.328533361594374,0.498506501486689
"1200009I06Rik",18.238749078544,-2.76982988445163,0.646499605802067,-4.2843489146684,1.8327510150748e-05,0.000182369753462418
"1200011I18Rik",486.543106869076,-0.121732278361195,0.149900474606359,-0.812087344492177,0.416741514448534,0.584117492924174
"1200011M11Rik",179.567728043555,-0.12292987414536,0.190073263995651,-0.646749950840919,0.517793789038427,0.673863853960466
"1200014J11Rik",306.597073743685,-0.0160907104135381,0.167350869573212,-0.0961495476813091,0.923401800200605,0.955483110626934
"1200016B10Rik",464.153565145496,-0.0616289199689012,0.170071587836906,-0.362370462654831,0.7170752091293,0.824881389784962
"1300001I01Rik",4413.85266028617,0.257730182022727,0.149060909759,1.72902595616398,0.0838044496913042,0.185731853229839
"1300002K09Rik",2758.02413515676,-2.49783638208746,0.252594771681293,-9.88870975223139,4.65994951244306e-23,1.18945211305109e-20
"1300010F03Rik",4239.84128543492,0.651466167159888,0.2086070516808,3.12293454085496,0.00179057566874489,0.00876561106521322
"1300014I06Rik",1585.03540033697,-1.1761940762906,0.201780986434625,-5.8290629710628,5.57394688128752e-09,1.38172983691522e-07
"1300017J02Rik",10557.9823123249,-0.248261088938086,0.219056181651127,-1.13332153909937,0.257079249755616,0.421270601264694
"1300018I17Rik",163.218684355088,0.193956677434063,0.237314436168419,0.817298267082303,0.41375799685855,0.581812359105306
"1300018J18Rik",901.053691540805,0.264108520809083,0.193974468850823,1.36156331487211,0.173335739290858,0.316983391587983
"1500001M20Rik",46.8487541091294,0.0843176316226102,0.34837570937347,0.242030742540144,0.808756342164076,0.88561045221473
"1500002C15Rik",1.72368104905953,-0.226478726253126,1.50576937748627,-0.150407313124676,0.880443271867269,NA
"1500002O20Rik",107.706939303424,-0.0161279707177131,0.239940280086719,-0.0672166036977374,0.946409267178345,0.968341587662874
"1500003O03Rik",4337.9148540285,0.661254224322287,0.16977841733621,3.8948073300319,9.82768153507272e-05,0.000763409441545164
"1500009C09Rik",0.13002109595028,-1.10855391793473,4.0804728567969,-0.271672905773211,0.785873536047611,NA
"1500009L16Rik",0.13002109595028,-1.10855391793473,4.0804728567969,-0.271672905773211,0.785873536047611,NA
"1500010J02Rik",93.1746394585992,-0.368542203852559,0.314305596932235,-1.1725601053551,0.24097225566344,0.403155023464142
"1500011B03Rik",7.53169153471648,-1.0168471753797,0.821766119003372,-1.23739243060169,0.215941427582083,0.372629662316057
"1500011H22Rik",19.0932436700672,-0.159202333058634,0.576430724128239,-0.276186411297563,0.782404893700266,0.869125958349487
