"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"0610007C21Rik",998.070882252754,0.298808082890853,0.213136285202317,1.40195782528167,0.160927841156812,0.359714533589075
"0610007L01Rik",771.640283945962,-0.312173166392079,0.165835365292556,-1.88242818919453,0.0597779015058046,0.193250505186894
"0610007P08Rik",282.818609716625,0.439164243665294,0.265325736797782,1.65518901017885,0.0978861637782305,0.264514443571996
"0610007P14Rik",795.237899550348,-0.286037455908245,0.235567927350105,-1.2142461799697,0.224653730803117,0.43965192677673
"0610007P22Rik",132.464081685636,-0.273556088084714,0.273584823561324,-0.999894966847081,0.317361340428547,0.543363620860404
"0610009B22Rik",277.876239909101,-0.428881047187747,0.212119732640774,-2.0218818958916,0.0431885545033006,0.156425896714835
"0610009D07Rik",568.872441769352,-0.444725904352503,0.211891617538319,-2.09883670491155,0.0358312980008966,0.138651950464216
"0610009L18Rik",9.46599568809511,-0.843501869684155,0.790858203801298,-1.06656523967232,0.286168204044929,0.50970372297438
"0610009O20Rik",405.279498798018,-0.0797023684897229,0.204113495168587,-0.390480641291713,0.696181167467371,0.839194526581441
"0610010F05Rik",387.967851711713,0.0752223079304862,0.200173207052792,0.375786095641899,0.707075925538804,0.845852222769867
"0610010K14Rik",78.1954974972818,-0.744349007049543,0.342453321424366,-2.17357800459804,0.0297368417665346,0.122318497745733
"0610010O12Rik",127.660046900963,0.233724763522388,0.24132376638836,0.968511170782313,0.332789142800278,0.558520103141119
"0610011F06Rik",1039.48011098632,-0.239986674303891,0.229695104062373,-1.04480535309417,0.29611294030927,0.519880469676991
"0610011L14Rik",392.01810581663,-0.0903829090663717,0.181175221290415,-0.498870145832427,0.617870866996459,0.790566011306727
"0610012H03Rik",206.318874356405,-0.951589752890137,0.263490336065868,-3.61147876274391,0.000304456019638602,0.00420610918442801
"0610030E20Rik",349.208761655259,-0.354152222737716,0.219232610230946,-1.61541762589353,0.106220285770173,0.277421387263515
"0610031J06Rik",466.731052262202,0.0813192938274351,0.21265014417446,0.382408834675984,0.702158138334182,0.842307466002831
"0610037L13Rik",244.90351629776,-0.48549785616178,0.216652603547789,-2.24090478587159,0.0250322431841629,0.109091023527333
"0610037P05Rik",310.269671304525,-0.658454532163332,0.224701854459745,-2.93034756542827,0.00338583065855518,0.0263562919525512
"0610039K10Rik",9.49247609242497,0.338405802140973,0.726318258691051,0.465919447971525,0.64127315992065,0.804642532937724
"0610040J01Rik",238.822453562928,0.109899174639269,0.197634262909119,0.556073491618231,0.578160615774413,0.763614578765896
