"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"0610007C21Rik",703.708738492157,0.271261344606669,0.213549018267022,1.27025329738338,0.203994418188603,0.466068952263698
"0610007L01Rik",744.488222609246,-0.0384454038787715,0.259756665479777,-0.148005456598243,0.882338461930435,0.956757202773247
"0610007P08Rik",250.223013044391,-0.500419449506109,0.229859569844051,-2.1770659792221,0.0294756449616914,0.144911358061746
"0610007P14Rik",721.771776523908,0.134165007317196,0.182014782341524,0.737110500538659,0.461055154030997,0.718455447352495
"0610007P22Rik",111.667001113538,0.307020960349729,0.331499741030285,0.926157466655999,0.354364152905924,0.632350127252954
"0610009B22Rik",227.505709741661,0.600884408758195,0.206251552585663,2.91335702071201,0.00357565538765026,0.0338680706166038
"0610009D07Rik",488.225217219509,0.465134539641828,0.202917358995809,2.29223631700941,0.021892010359729,0.118571085264684
"0610009L18Rik",8.36080299835188,0.790288345907853,0.809059128181755,0.976799245419694,0.328668549709848,0.606654015531948
"0610009O20Rik",367.592119205422,-0.0683344589244427,0.189716020226811,-0.360193402975389,0.718702507752552,0.881907042492475
"0610010F05Rik",311.947193629269,0.120625701801016,0.21376722562868,0.564285294185116,0.572559987966332,0.801788989084673
"0610010K14Rik",67.518820921629,0.757167157543933,0.3784801596502,2.00054649692529,0.0454412843429252,0.192078602930761
"0610010O12Rik",85.6973829739382,0.546192462180047,0.277442100717012,1.96867188061396,0.0489907823593861,0.201558091772653
"0610011F06Rik",938.889932352744,0.0896422826319039,0.213987517564865,0.418913606045881,0.675279272949089,0.861385336414845
"0610011L14Rik",327.293197637911,0.172522648785932,0.231580619552322,0.744978785873544,0.456284544562852,0.715219036651085
"0610012H03Rik",226.799462127864,0.116970657549812,0.241485085722978,0.484380462667563,0.628115881364983,0.833561767019053
"0610030E20Rik",423.017683712384,-0.593884466710822,0.206518481653489,-2.87569646046149,0.00403137182144129,0.0367121617709929
"0610031J06Rik",359.444607311612,0.246809081962488,0.237991038323183,1.03705199868631,0.299711624150582,0.576496371400009
"0610037L13Rik",224.503353111973,0.272338708573098,0.2423818240602,1.12359377452931,0.261185398349712,0.534821905521276
"0610037P05Rik",288.761307919465,0.384658959395399,0.212550476761211,1.8097299298347,0.0703376787482159,0.253974388133135
"0610039K10Rik",5.5722885810533,0.734392716158126,0.987627392803369,0.743592899011803,0.457122800485751,0.715886097030477
"0610040J01Rik",234.477458195569,-0.455644265331498,0.238720723680401,-1.90869170596816,0.0563018737395888,0.2207392033368
"0910001L09Rik",448.494970114968,0.295388599766106,0.199440933593595,1.48108311791212,0.138584425941275,0.376534138636055
"1100001G20Rik",10406.6934588808,0.986548083307783,0.2349346779065,4.19924419885093,2.67807380652792e-05,0.000812276181890162
"1110001A16Rik",138.422696671538,0.133323518615221,0.250000022421867,0.533294026631095,0.593830061967524,0.813581420237165
"1110001J03Rik",215.391227554248,0.802737507817544,0.373538939751264,2.1490062277097,0.0316339062766566,0.151904075955952
"1110002B05Rik",609.757484016418,0.251700906983761,0.204569616099547,1.23039242964253,0.218550186859374,0.48616196351676
