"","Lung_LTDR_rep1","Lung_LTDR_rep2","Lung_LTDR_rep3","Lung_LTAL_rep2","Lung_LTAL_rep3","Lung_Young_rep1","Lung_Young_rep2","Lung_Young_rep3","Lung_STDR_rep1","Lung_STDR_rep2","Lung_STDR_rep3"
"0610007C21Rik",436.963262483332,448.506337002798,571.165368272046,491.455764515239,418.081348330884,501.119848430053,502.154434198101,407.149222371916,637.016181734816,607.505121056774,431.830966762437
"0610007L01Rik",967.306928531618,937.854735048009,882.626094983501,929.253827693827,933.991886337428,807.486301220245,786.494017664975,904.159717256434,1065.45184378655,957.72546459675,736.075511526882
"0610007P08Rik",569.549178995404,515.063769812657,540.666246665286,526.821067668942,564.825132844373,643.483441734046,577.263003415766,569.121392579817,510.176676522131,582.070124039904,618.303429682581
"0610007P14Rik",219.55087250386,235.976352689499,248.614051885405,204.874859649033,259.339644328871,194.753395639862,219.960809851732,218.551489938058,263.074529330012,270.002276025233,159.833539645837
"0610007P22Rik",89.103438516177,96.8108113597945,106.284817720526,103.656923036713,94.1375221407289,59.2232548144608,84.7653852599359,75.439092973543,109.927571184327,102.718257183513,61.6901381089196
"0610009B22Rik",98.3701961218595,86.9784633310654,154.344039646329,170.729049707527,198.427130002517,79.7236122502357,150.217138435329,87.6424756604396,124.960401431756,98.8051807193787,84.1229156030722
"0610009D07Rik",495.415118149944,497.668077146444,583.180173753497,623.161031432475,525.13970684387,411.14605746193,658.809449994945,339.475918380943,464.138633889379,530.221860890131,350.512148346134
"0610009L18Rik",36.3542029146002,31.0097130136842,34.1959848318215,32.9263167293088,40.608342884236,20.5003574357749,41.8462028498418,47.7041323215051,30.0656604948586,32.2828808291039,22.4327774941526
"0610009O20Rik",295.823415873708,298.752113180616,295.749058004943,292.67837092719,299.025070329374,325.727901479535,315.455990714192,308.412762450661,372.062548623875,401.090337573716,291.626107423984
"0610010F05Rik",563.846558930368,507.500425175173,463.956334745254,464.626913846914,467.918860052447,436.202049883433,433.483742341951,383.851855424204,444.408044189628,420.655719894385,378.553120213825
"0610010K14Rik",86.9649559917888,81.6841220848266,84.1036383701556,76.8280723683873,69.2187662799477,67.1956160394844,79.4004874586741,99.8458583473363,80.8014625799324,52.8265322658064,86.9270127898413
"0610010O12Rik",1191.13476608425,1015.00085035035,1406.65645713601,1185.34740225512,1323.4628112726,801.791757488085,949.586910823333,666.74845407499,1620.72701105097,1254.14100675489,667.37513045104
"0610011F06Rik",205.294322341272,180.763936835866,200.554829959602,223.167257831982,197.504213118784,152.61377202188,195.282279965928,171.956756042635,231.129765054225,186.849401162389,144.411005118607
"0610011L14Rik",345.008513934638,346.401184396765,406.654954756796,387.798841478526,355.323000237065,310.922087775919,356.229214003781,333.928926250536,532.725921893275,452.938600723489,346.306002565981
"0610012H03Rik",0,1.51266892749679,0,0,0,0,0,0,0,1.95653823206691,1.40204859338454
"0610030E20Rik",387.778164422402,395.56292454041,364.141027668586,284.141918441813,292.564652143246,376.978795068972,366.959009606305,419.352605058812,384.276723199911,378.590147904946,541.190757046431
"0610031J06Rik",454.071122678438,558.931168710064,475.046924420439,441.456542815178,452.229273028992,405.45151372977,400.221375974128,377.195464867715,592.857242882992,451.960331607455,448.655549883052
"0610037L13Rik",228.817630109543,254.884714283209,296.673273811208,310.970769110139,305.485488515503,342.811532676014,319.747908955201,336.147723102699,236.767076397011,303.26342597037,221.523677754757
