"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"0610007C21Rik",561.507358207994,0.199030122108969,0.219127991091084,0.908282511594964,0.363728979830925,0.876866652134606
"0610007L01Rik",994.050971484307,-0.0194176728027089,0.182198911440612,-0.106574033012476,0.915126919887762,0.99094603669806
"0610007P08Rik",597.636604474588,0.064413484962317,0.154012916324397,0.418234304625743,0.675775816651331,0.959495377683362
"0610007P14Rik",250.393293666443,-0.0229909732157261,0.249065472984438,-0.0923089537069739,0.926452574715931,0.991995837790853
"0610007P22Rik",101.554529015464,-0.0847900444128016,0.298699391874807,-0.283864134709519,0.776514502698091,0.975937016576504
"0610009B22Rik",116.141325473783,-0.140637643301218,0.320670365850537,-0.438573869862266,0.660970334050041,0.954151426841724
"0610009D07Rik",523.649427618779,-0.232309955273821,0.206435842318743,-1.12533730898885,0.260446125598712,0.818885590262901
"0610009L18Rik",33.4030857348371,-0.255242265509982,0.391433235849707,-0.652071010158124,0.514355364503761,0.926137769122581
"0610009O20Rik",350.273364794238,0.255527592721027,0.187768160780737,1.36086752758586,0.173555557073729,0.739561338987363
"0610010F05Rik",498.043918596167,-0.309231439809092,0.165548002483406,-1.86792613121435,0.0617723679637118,0.521458699516993
"0610010K14Rik",84.822469042889,-0.210717351689359,0.294534836563058,-0.715424206345945,0.474346959435325,0.914889652418514
"0610010O12Rik",1283.01578814707,-0.0338054331219698,0.306363298845386,-0.110344265286915,0.912136352954105,0.99094603669806
"0610011F06Rik",205.95899347852,-0.0608376014693258,0.237552175021238,-0.25610206037426,0.797872031079355,0.978123357280221
"0610011L14Rik",435.477000635302,0.275920113105246,0.214153140030726,1.28842431666263,0.197598298596012,0.768585452642406
"0610012H03Rik",0.869453329171325,1.11756866721494,2.7764715340717,0.402514001494559,0.687305786067008,NA
"0610030E20Rik",439.078230135832,0.172860299362292,0.199287612996293,0.867391087500793,0.385727763475519,0.887532801913667
"0610031J06Rik",534.218792599919,0.000855976660067097,0.191939805246216,0.00445960992285612,0.996441757889812,0.999779122629156
"0610037L13Rik",276.333521402914,-0.0381192229075386,0.216110287807462,-0.176387821673256,0.859989271563302,0.98401113858597
"0610037P05Rik",371.587539768382,-0.0589114439557847,0.222422051012616,-0.264863324870802,0.79111475208822,0.97788639031396
"0610039K10Rik",34.0613787957657,0.898870987377649,0.511073713845712,1.75878931556439,0.0786133002227334,0.566015761603681
"0610040J01Rik",138.899316306236,-0.39277854108797,0.319403455053617,-1.22972539862487,0.218799952424602,0.783818969772113
"0910001L09Rik",281.313097963681,0.171862036830937,0.162694194771051,1.05635014865028,0.290808272497266,0.842156362264213
"1100001G20Rik",213.873886878898,-0.885240004341597,0.396067514297415,-2.23507349728474,0.0254125239775274,0.354834962279141
"1110001A16Rik",103.452171805189,-0.503504478862215,0.26967202651628,-1.86709939984012,0.061887708227612,0.521458699516993
"1110001J03Rik",107.95754379504,0.181919389288129,0.346247017944909,0.52540348323541,0.59930273261051,0.945155943239499
"1110002B05Rik",541.758692536821,-0.477980341255115,0.214084541762457,-2.23267096876836,0.0255706502711575,0.355699194816699
"1110002E22Rik",8.4596115607546,0.223226535428608,1.14209908154189,0.195452863097693,0.845038435752244,NA
"1110002L01Rik",36.4157446924917,0.566378858595558,0.368502457991074,1.53697443887682,0.124299568972672,0.667066400859097
"1110002N22Rik",78.2014105050848,0.225802828501333,0.280860199616598,0.803968767413737,0.421415012911259,0.897512262922438
"1110003E01Rik",1862.44875735157,-0.20826092069481,0.16149882698652,-1.2895506709296,0.197206712389644,0.768134337367324
"1110003O08Rik",104.048806458814,0.371859543274656,0.25771557689921,1.44290674141163,0.149046743857048,0.705109108729978
"1110004E09Rik",231.37189844485,-0.409447579601447,0.345073181577016,-1.18655288634786,0.235404029003325,0.799537129767279
"1110004F10Rik",360.76141381323,-0.149742550474432,0.228029367149467,-0.656680989586221,0.511386060565936,0.925717693465442
"1110005A03Rik",187.97401729687,-0.151609337741127,0.257242907846962,-0.589362556231566,0.555618088981412,0.938809218079741
"1110006G14Rik",4.88722188017641,-0.125506648308343,1.07688193551892,-0.116546340103537,0.9072195622055,NA
"1110007C09Rik",174.282116408075,0.179818711141414,0.2094045390107,0.858714486280674,0.390498056234359,0.889745666267782
"1110008E08Rik",0,NA,NA,NA,NA,NA
