"","Muscle_LTDR_rep1","Muscle_LTDR_rep2","Muscle_LTDR_rep3","Muscle_LTAL_rep1","Muscle_LTAL_rep3","Muscle_Young_rep1","Muscle_Young_rep2","Muscle_Young_rep3","Muscle_STDR_rep1","Muscle_STDR_rep2"
"0610007C21Rik",521.295998142365,557.943155267159,632.863524404229,308.254812278634,401.614469692721,367.32762497817,384.8009190185,308.743396388191,475.020024958769,343.382796592208
"0610007L01Rik",336.532859560261,355.43667873194,366.16900395746,288.796867317524,424.765178472001,341.994685324504,276.493108859975,345.192269572908,335.199315857845,337.235278494649
"0610007P08Rik",283.743391393946,273.089646779859,290.705602673487,280.604048386531,278.815057906977,376.375103425909,287.940275787299,336.616064117681,253.714399295717,222.188868383194
"0610007P14Rik",49.0187918687215,57.138756864709,55.7400123120256,52.2292206850842,70.4586788934598,112.188732751954,49.3108729177026,35.3768475028136,59.2617574997294,52.693012264789
"0610007P22Rik",65.0441661334958,52.9373776834804,66.8880147744307,57.3497325169552,87.5700723390143,57.9038620655244,60.7580398450264,64.3215409142065,81.484916562128,72.0137834285449
"0610009B22Rik",275.259369724359,211.749510733922,246.113592823867,150.543047857007,236.539850570901,249.710405157574,258.882082817938,242.277804110178,250.936504412917,178.278024829203
"0610009D07Rik",373.296953461802,373.0824712931,397.897934042767,227.350725335072,206.343273902275,260.56737929486,288.820827089401,275.510600249185,469.464235193169,344.261013463288
"0610009L18Rik",119.718972448608,101.673376185732,112.337563275005,36.8676851894712,112.733886229536,79.6178103400961,97.7411945333033,97.5543370532132,190.748781952254,135.245398146292
"0610009O20Rik",349.73022660184,528.533500998559,389.322547533225,227.350725335072,321.090265243052,448.754931007814,394.486983341621,502.780044812714,362.05229972491,374.120387080002
"0610010F05Rik",331.819514188269,404.172677234192,391.037624835133,288.796867317524,276.801952795735,332.947206876765,339.892802611307,322.679730252936,277.789488279982,245.022507031269
