"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"0610007C21Rik",571.211299525191,-0.494573552341386,0.224900371708679,-2.1990784122937,0.0278723472445766,0.132280329804193
"0610007L01Rik",390.550533494853,-0.0824705381004221,0.16814197048102,-0.490481572593033,0.623793166369535,0.824844738329281
"0610007P08Rik",298.693891733634,-0.261382661319661,0.18861319605318,-1.3858132240438,0.165803943325105,0.404429836210283
"0610007P14Rik",61.7875801931351,0.0375800973646676,0.342502264573522,0.109722186542216,0.912629704334817,0.967089862766964
"0610007P22Rik",76.289416959703,0.304120114379275,0.323113321388617,0.941218124564731,0.346593090452965,0.61483737371082
"0610009B22Rik",262.223093528335,-0.201195630649885,0.264026059111728,-0.762029442573866,0.446042431977005,0.700239415543909
"0610009D07Rik",441.603866031663,0.0785676380468797,0.213600740450155,0.367824745744334,0.713003916164611,0.87280919108697
"0610009L18Rik",148.663187385083,0.53712249051187,0.283202830586663,1.89660000713695,0.0578807496601116,0.213114572079394
"0610009O20Rik",452.491680604366,-0.213416575657322,0.255154470388798,-0.836421072035789,0.402918062172158,0.665236300983856
"0610010F05Rik",372.574083272841,-0.537827386959814,0.203056965822923,-2.64865273043049,0.00808133244985097,0.0557014122111608
"0610010K14Rik",69.2635613661872,0.648824413247831,0.325333163915159,1.99433837435962,0.0461150882378674,0.183951384036783
"0610010O12Rik",1057.21161136936,0.735069536145326,0.261803239840284,2.80771749270086,0.00498939755467434,0.0398199236213354
"0610011F06Rik",191.802906051006,0.147658279046058,0.229297389031121,0.643959705210674,0.519601563776636,0.756108513212271
"0610011L14Rik",262.442167895243,-0.263800311125876,0.200439974134166,-1.31610629199792,0.188138369433393,0.435321454268243
"0610012H03Rik",0.580794127504644,-0.350995769160805,4.49937999968529,-0.0780098078369365,0.937820251244334,NA
"0610030E20Rik",195.846262299098,-0.399277208794505,0.255130455078134,-1.56499234351393,0.117584704579898,0.331437577380982
"0610031J06Rik",175.177292678721,-0.0330748361358415,0.228603742992234,-0.144681953597606,0.884961988166022,0.957383162269278
"0610037L13Rik",216.604021639751,-0.109888430933373,0.212739762882791,-0.516539218829136,0.605477854654153,0.813461450783528
"0610037P05Rik",863.717012351006,-0.380161618317483,0.175583900079127,-2.16512799947013,0.0303778842789854,0.140509379822027
"0610039K10Rik",11.0157898404603,1.28981458959329,0.952417193644808,1.35425378521076,0.175655424848117,0.419398341482838
"0610040J01Rik",60.8529270010819,0.328105907980013,0.543678380433003,0.603492652620651,0.546181001885876,0.774741522025757
