"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"0610007C21Rik",280.494101324127,0.482795689428064,0.252182488448904,1.91446952719672,0.0555601891637435,0.419304988979423
"0610007L01Rik",253.070615498169,-0.00798333476384061,0.243433157373549,-0.03279477146817,0.973838247735692,0.998803097216312
"0610007P08Rik",343.036563932778,0.113833082830071,0.227886607936605,0.499516333411474,0.617415683092996,0.970781298483838
"0610007P14Rik",87.0707274108775,0.0892451667141818,0.353973830660889,0.252123628878316,0.800945506581511,0.990276761941707
"0610007P22Rik",39.5024167363567,0.13023746371099,0.532152093427025,0.244737294693833,0.80665984900037,0.991926156230508
"0610009B22Rik",78.1789198120342,0.228459959961321,0.39166115965885,0.583310227034811,0.559684479082674,0.955398539129343
"0610009D07Rik",379.617252598801,0.231547417404049,0.258011421736756,0.89743088056114,0.369489040617783,0.891534132853342
"0610009L18Rik",21.1440414547436,0.780545985102755,0.712140029632767,1.09605688856623,0.273053879552131,0.827070289672196
"0610009O20Rik",168.046644842381,0.00742363928785685,0.304945704860171,0.0243441346099984,0.980578109222345,0.998803097216312
"0610010F05Rik",321.966378358541,0.275165353503562,0.223556821558327,1.23085196678631,0.218378235278911,0.777749110828585
"0610010K14Rik",68.7607415809835,0.123438859060036,0.41575151383817,0.296905374848698,0.766538752574808,0.986445423753405
"0610010O12Rik",129.668353534876,1.24712967648036,0.405800180906227,3.07326052367765,0.00211733552101854,0.0489402358295708
"0610011F06Rik",55.7543983809007,0.491304621532727,0.559500021467079,0.878113677716159,0.37988203104434,0.895697323502792
"0610011L14Rik",148.744082822555,0.0379439332879529,0.311240607701401,0.121911898219771,0.902968792502093,0.997063597973506
"0610012H03Rik",0.451334131752947,0.37643394843281,4.71246527356406,0.0798804715961569,0.936332321598519,NA
"0610030E20Rik",269.115187765618,-0.134923829762519,0.238749246319928,-0.565127772515434,0.571986859532729,0.960563398009384
"0610031J06Rik",153.850096226509,-0.0675475470919072,0.283804955767947,-0.238006932997806,0.811875716946824,0.992946349065523
"0610037L13Rik",201.951269278794,-0.0238267967340744,0.261644121495603,-0.0910656681215549,0.927440412128554,0.997440165313772
"0610037P05Rik",257.427615503786,0.556215740894736,0.24746896013674,2.24761820871352,0.0246005454714186,0.263561294296822
"0610039K10Rik",9.99906169769977,0.422655844635515,0.976163139341353,0.432976648678512,0.665031734323035,0.976059199908426
"0610040J01Rik",14.2562429304225,-0.379175853431306,0.868214864354499,-0.436730432752054,0.662306855965188,0.976059199908426
"0910001L09Rik",120.684265814027,0.127890661074177,0.353508090867738,0.361775768017785,0.717519601647941,0.983014522471117
"1100001G20Rik",485.166385964655,-0.547216789416968,0.35671003914406,-1.53406613037872,0.125013384649042,0.622746848058407
"1110001A16Rik",91.2616768683639,0.599225431754761,0.358763204137114,1.67025331707581,0.0948692551841594,0.550385214243836
"1110001J03Rik",33.1325115065666,0.725696405846916,0.562615498253265,1.28986209604955,0.197098543229848,0.750605908644276
"1110002B05Rik",689.862479689864,-0.170747047549202,0.262389904024972,-0.650737871122325,0.515215711979969,0.944782880803479
"1110002E22Rik",312.305441779096,0.0751404704421166,0.245208379432568,0.30643516594334,0.759273336777827,0.985421034921167
"1110002L01Rik",13.2369003142349,0.0897742352845142,0.84671978983407,0.106025908880796,0.915561795730792,0.997063597973506
"1110002N22Rik",46.1919745826675,0.608257027497665,0.499533606120102,1.21764986388408,0.22335705692352,0.780355797310101
"1110003E01Rik",576.014169677567,0.131273850167257,0.200330452237491,0.655286546309155,0.512283281180876,0.944782880803479
"1110003O08Rik",70.6883139663729,1.09753980666721,0.392260844284748,2.79798461319399,0.00514225622449946,0.0918574431191422
"1110004E09Rik",45.9963775128798,0.320936362038868,0.48448959586099,0.662421576811221,0.507701079331951,0.944338810678901
"1110004F10Rik",168.028722431508,0.312378496061459,0.277191268092856,1.12694205055845,0.259766982812975,0.816780019172776
"1110005A03Rik",144.250269218624,0.456770960332694,0.329996429651286,1.3841694009095,0.166306590393333,0.707813857897629
