"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"0610007C21Rik",490.479321896309,1.28392163106626,0.511515004712631,2.51003708442055,0.0120718483279359,0.104300039033044
"0610007L01Rik",359.628970110749,0.514236281364695,0.251336550084995,2.04600676340467,0.0407557052496269,0.204171783053175
"0610007P08Rik",384.53737307887,0.0863832298056672,0.207117755989482,0.417073028784911,0.676624992127606,0.845949126175572
"0610007P14Rik",98.8832571396157,0.0879554416478294,0.354407473756625,0.248176035103112,0.803998207640761,0.912003528304367
"0610007P22Rik",48.7768024447169,0.30889664051607,0.581442150478473,0.531259455926744,0.595238996967233,0.797532398136184
"0610009B22Rik",90.1516933939116,0.244693908388473,0.676167625717892,0.361883502080833,0.717439089013971,0.868526072291332
"0610009D07Rik",471.433699404076,0.415446670956047,0.429664778495995,0.96690883625668,0.333589608944642,0.609796053019916
"0610009L18Rik",31.8930598096636,1.23933091775938,1.07721696454488,1.1504933161566,0.249940745528808,0.524333879410441
"0610009O20Rik",226.661363163949,0.41323861267982,0.365113613443747,1.13180828504902,0.257715043777328,0.534491205064395
"0610010F05Rik",426.514256885151,0.584177431215751,0.244106723727605,2.39312306639954,0.016705636637374,0.125920665423725
"0610010K14Rik",80.9957265657948,0.204143282964948,0.471129516885475,0.433306077518749,0.664792423483382,0.839188219299479
"0610010O12Rik",115.839216161894,0.642545382032393,0.481286573660003,1.33505777471845,0.18185743800139,0.442926049840659
"0610011F06Rik",73.9781119655475,0.749025893487375,0.617466409431427,1.21306338619633,0.225105587113688,0.496809741597167
"0610011L14Rik",193.147742672053,0.359600227242079,0.403034178837077,0.892232585037021,0.372268280025725,0.642644363758905
"0610012H03Rik",0.392546842138063,-0.363701095096376,4.55545347139046,-0.0798386148339617,0.936365612137422,NA
"0610030E20Rik",338.635736202791,0.151186921164902,0.276515229820598,0.546758025816487,0.584544983565601,0.791027049176323
"0610031J06Rik",206.848900567729,0.35151289351382,0.483493801966285,0.727026679730492,0.467209612109802,0.71617628024311
"0610037L13Rik",218.515210534363,-0.118910081735723,0.263978437692135,-0.450453767267165,0.652383283321196,0.831643064965926
"0610037P05Rik",346.427043559698,0.841381540376588,0.269205477753388,3.12542503740343,0.00177548315834672,0.0301118317994861
"0610039K10Rik",12.7456978435851,0.612073333229904,0.926662593245151,0.660513694727266,0.508924233144895,0.745247768074486
"0610040J01Rik",15.2658585860912,-0.440525274820821,0.872241577922638,-0.505049616953588,0.613523987264945,0.808826290690236
"0910001L09Rik",151.830376974024,0.357970056755357,0.598963714581429,0.597648986141866,0.550074170986222,0.769871760964523
"1100001G20Rik",381.211812379584,-1.6745091092851,0.285704772688983,-5.86097702717751,4.60151640644708e-09,1.40154692451396e-06
"1110001A16Rik",122.186582159268,0.871130418454992,0.391261312502441,2.22646704547248,0.0259829139729007,0.160362127196581
"1110001J03Rik",64.4887037525175,1.65598692046765,0.478151639184846,3.46330909435086,0.000533575072912584,0.0125746103496717
"1110002B05Rik",534.152165014242,-1.26667104795443,0.355380970437647,-3.56426244881524,0.000364880731380657,0.00937256607308066
"1110002E22Rik",180.716769206375,-2.22624930170191,0.707415535983086,-3.14701782539751,0.00164944905806149,0.0286923384491792
"1110002L01Rik",17.4044567387613,0.435056512793806,0.736945611526848,0.590350910554213,0.554955414164611,0.773641262073416
"1110002N22Rik",66.9113879569077,1.02165237996811,0.448593307013967,2.27745792011182,0.0227588947300124,0.149004678086917
"1110003E01Rik",797.918076339478,0.566650657281747,0.225747108739689,2.51011257882889,0.0120692677086324,0.104300039033044
"1110003O08Rik",69.0264175446336,0.673800437214504,0.404407322192845,1.66614302026212,0.0956849317081935,0.319045703887126
"1110004E09Rik",110.417467373264,1.73202189330237,0.889431297484402,1.94733634649588,0.0514944239045485,0.231501958739604
"1110004F10Rik",264.305635563534,0.959910816262476,0.408560393521346,2.34949552498001,0.0187988700806435,0.134363137189481
"1110005A03Rik",142.794047476571,0.0940616179522755,0.297242941237165,0.31644693583228,0.751663296217963,0.887052239604146
"1110006G14Rik",17.2843966134893,1.27355956146392,1.00091197841131,1.27239916089862,0.20323133206743,0.468928191265121
"1110007C09Rik",100.164456274083,0.675081256911614,0.383381589334651,1.7608598735354,0.0782621229588451,0.288240150402573
"1110008E08Rik",0.175629051533207,1.04475652485618,4.56207316163209,0.229009156109722,0.818861799679222,NA
"1110008F13Rik",108.346866757476,1.26071220581058,0.605968990840638,2.08048963703843,0.037480645170248,0.196197951024094
"1110008J03Rik",33.0947768361792,0.42906925885302,0.773309933710106,0.55484772682859,0.578998819018776,0.787618021828968
"1110008L16Rik",102.387064777124,0.196199867647292,0.580593694686373,0.337929725112284,0.73541614651318,0.877551527943329
"1110008P14Rik",130.147444152462,1.32188098261645,0.631838143379857,2.09211962979219,0.036427815594654,0.192569504653875
"1110012D08Rik",43.6410526459761,-0.119388651736007,0.526544494202864,-0.226739910967543,0.820625990774058,0.918867109735778
"1110012J17Rik",27.291341955682,-0.054640996586915,0.579795925435734,-0.0942417740273885,0.924917101544624,0.967381282227652
"1110012L19Rik",94.0856097190543,0.453105391987713,0.327682488207511,1.38275742004491,0.166739258996876,0.42409415789059
"1110014N23Rik",156.493890861762,-0.180847214369852,0.30155557576718,-0.599714377390512,0.54869660477047,0.768983143520038
"1110017D15Rik",26.3112252553691,5.4633626318126,2.20877798999726,2.47347748689735,0.0133805234294141,0.111177743897261
"1110017F19Rik",14.4808558317116,-0.544696521336407,1.25093010850939,-0.435433216956835,0.663248004017549,0.838836257274899
"1110018G07Rik",406.574593424941,0.630238991757754,0.376855171425086,1.67236392000272,0.094452582216454,0.316870196027904
"1110018J18Rik",813.381162722109,1.0400249585637,0.345009460896922,3.01448243146707,0.00257418119242684,0.0387552252810624
"1110020G09Rik",269.377385684945,0.914116731361023,0.3591297327348,2.5453663343326,0.0109163148137841,0.0982400504502678
"1110021J02Rik",64.3999051318876,-0.792768860640193,0.418810469606638,-1.89290602354041,0.0583703680764669,0.248215318007969
"1110021L09Rik",180.648043452021,-0.00672353459097848,0.476142488239268,-0.0141208456650057,0.988733569677465,0.994804609215063
"1110025L11Rik",4.73014643102454,-4.93952587896203,1.9564786987874,-2.52470209975886,0.0115796401917943,NA
"1110028C15Rik",603.5019471417,-0.423562584955244,0.200092072848868,-2.1168384080621,0.0342735644299935,0.186608950132089
"1110031I02Rik",44.2381603729514,1.08418602129566,0.607733690285187,1.7839820938459,0.0744265748334897,0.281150965879873
"1110032A03Rik",344.797242217981,1.70781345099014,0.565016365390472,3.0225911240817,0.00250620614705932,0.0381350547713344
"1110032A04Rik",0.9200194338867,-0.11798281315945,3.25965746162135,-0.0361948500873356,0.971126992335597,NA
"1110032F04Rik",0.781049030510171,-0.568270255289446,2.60801923722922,-0.217893429303528,0.827512146810809,NA
"1110034A24Rik",66.3504109495787,0.713163354820194,0.53104633359554,1.34293998414714,0.179291408022249,0.440455494107381
"1110034B05Rik",72.1744181834931,-0.165384429655286,0.509963284588864,-0.32430654255555,0.745705966897087,0.88346465618069
"1110034G24Rik",50.3266382907933,-0.285968011087556,0.465842453436412,-0.613872799651547,0.539299385713581,0.762816851498412
"1110037F02Rik",716.691133392244,0.230764873812293,0.254085294488077,0.908218140987776,0.363762981392033,0.635516194488195
"1110038D17Rik",357.56723727255,1.16395793813908,0.616403923626097,1.88830390840459,0.0589851629292465,0.249467488636579
"1110038F14Rik",68.4549060257169,-0.147487342730644,0.419755362992364,-0.351364999077635,0.725314537177621,0.872166583325717
"1110049F12Rik",157.306743745377,0.762389144600592,0.388991292772315,1.95991313627381,0.0500059439571227,0.228056317125732
"1110051M20Rik",158.005858547126,0.170757202713051,0.471695811875447,0.362007035920302,0.717346772634921,0.868526072291332
"1110054O05Rik",138.751161790222,-0.0286398132000321,0.433982630407225,-0.0659929941738869,0.947383403136511,0.975948283556707
"1110057K04Rik",508.143619221342,-0.0753890755760824,0.424262280243661,-0.177694504288209,0.858962901505202,0.936409480242341
"1110057P08Rik",5.46710793507431,-5.13759846159499,3.18877235012216,-1.61115247421101,0.107146493518356,NA
"1110058L19Rik",76.2267189142927,0.593482061025354,0.51159748178469,1.16005665030839,0.246025742096675,0.519684260799202
"1110059E24Rik",134.995678125362,0.424197857371416,0.29345729572503,1.44551818459095,0.148312388957228,0.400507928378204
"1110059G10Rik",77.8447366481466,0.219317091969332,0.332088087355155,0.660418426074952,0.508985350859872,0.745273567753371
"1110059M19Rik",23.0490882819968,1.03241686287151,0.979951269495949,1.05353898199708,0.29209403797414,0.570112457577004
"1110065P20Rik",38.5590625300259,1.49675014973148,0.68826856870319,2.17466003503778,0.0296556018536127,0.171362369834046
"1110067D22Rik",961.130506341676,-0.564955858150649,0.230248767470867,-2.45367592780766,0.0141404351897896,0.11457395034464
"1190002H23Rik",748.094176286186,1.43088665088988,0.681441609753234,2.09979348253776,0.035747011826659,0.19103354760641
"1190002N15Rik",303.006540684406,-0.031339967002606,0.393323772229904,-0.0796798190582981,0.936491910469951,0.971676422494906
"1190003J15Rik",128.633160660529,-1.75597271917479,0.474317219499626,-3.7021062002076,0.000213817077734276,0.00618338339397638
"1190005F20Rik",225.566498739563,0.00827132833305699,0.348235053371221,0.0237521417013689,0.981050314656351,0.991408224667174
"1190005I06Rik",37.7263215102407,2.69739848978155,1.00166340678279,2.6929190699351,0.00708294596313748,0.0751871828912233
"1190007I07Rik",54.493915629483,0.55314135752205,0.424904314557788,1.30180216714844,0.192984022790161,0.456586768259862
"1200009I06Rik",8.56921649233475,-0.320132841625229,0.881442329581069,-0.363192044313757,0.716461430184385,0.868064373812607
"1200011I18Rik",504.764913081641,0.181209235998496,0.237506624913596,0.762964974406164,0.445484284731843,0.699625905283479
"1200011M11Rik",108.868066041946,0.349030618454669,0.319925972141361,1.09097306517037,0.27528473466654,0.551691445480435
"1200014J11Rik",325.801965871216,-0.215148452278102,0.246810785886031,-0.871714141283314,0.383364343695545,0.65117846553475
"1200016B10Rik",330.738636954779,-0.0730288369175375,0.27955658188902,-0.261230969502012,0.793914396839546,0.907716740810941
"1300001I01Rik",1497.51402943874,0.803917994985151,0.689923958927934,1.16522695665527,0.243927136759367,0.517613586800408
"1300002K09Rik",27.7719690735122,-1.46212311610031,0.666827322712055,-2.19265627892046,0.0283321530131032,0.167818967193746
"1300010F03Rik",959.143137498624,0.759679321579228,0.577281776171163,1.31595929914473,0.188187703825985,0.450687717312078
"1300014I06Rik",188.394228803839,-0.0876140271676311,0.314075818044206,-0.278958207331007,0.780276897776268,0.901421074784817
"1300017J02Rik",15.7221271701535,4.70550449917651,1.60215074185078,2.93699236673622,0.00331412261134443,0.0456437803055982
"1300018I17Rik",140.567822284344,-0.422555014265217,0.281789083855135,-1.49954358942608,0.133732669413021,0.379596061142029
"1300018J18Rik",126.067322625901,-0.0764575770358568,0.55036666739331,-0.138921162137201,0.889512448149225,0.950244218365175
"1500001M20Rik",54.6194804288761,-0.239041764883972,0.488910291554882,-0.488927660172068,0.624892912275354,0.815506887876268
"1500002C15Rik",5.93485016346696,1.14237382782365,1.13661891328305,1.00506318738264,0.314866424726916,NA
"1500002O20Rik",108.525982540842,0.450602547299079,0.395035769911975,1.14066264783942,0.254010335979493,0.530092616468135
"1500003O03Rik",1802.18854920183,1.42475212720623,0.69873317918443,2.03905034088866,0.0414450036123768,0.205462166345733
"1500009C09Rik",2.67572451206976,3.12796406683201,3.00490403465972,1.04095306563965,0.297897331513055,NA
"1500009L16Rik",7.04732587828156,-0.0511195612255842,1.3026736761444,-0.0392420313404089,0.968697423264535,NA
"1500010J02Rik",138.381057477095,0.403320790208406,0.301534157218576,1.33756252999241,0.181039085843503,0.442543209819444
"1500011B03Rik",20.74850480039,1.35400181351061,0.609077521392,2.22303691394839,0.0262133109440311,0.16121690093461
"1500011H22Rik",45.9486451846255,1.85323744007575,0.848769139762547,2.18344111874074,0.029003340657657,0.169595302214211
"1500012F01Rik",181.017781869496,0.819025055992578,0.414321876755495,1.97678448071887,0.0480659966546491,0.222843438181969
"1500015O10Rik",6.07382812633538,2.59370810191922,1.71284353732685,1.51427030280132,0.129957297343313,NA
"1500031L02Rik",90.242276482334,0.887594125702755,0.421314290066047,2.10672684651549,0.0351412637152171,0.189172725759617
"1500032L24Rik",244.480856931775,0.555946139722818,0.447601200149594,1.24205685672204,0.214215585065558,0.483634608338227
"1500035N22Rik",14.2195225380501,-0.366828265514446,0.781073542828786,-0.469646256594376,0.638607770776798,0.823857982824575
"1520401A03Rik",1.88774419396469,1.33174235428949,1.7972955900309,0.740970134059355,0.458711549114519,NA
"1520402A15Rik",53.9745412524611,0.628538143128679,0.440914599429917,1.42553261774809,0.154003298397111,0.407559238714504
"1600002H07Rik",39.7747012533775,0.139728344275451,0.627963907552194,0.222510151610645,0.823916771498846,0.920399429229297
"1600002K03Rik",22.8521513102833,0.163670436784136,0.629272830252162,0.260094555041491,0.794790837879176,0.908048623222613
"1600012F09Rik",97.2379001611172,0.30584109296063,0.308885760273333,0.990143063539064,0.322104197276599,0.598955686487079
"1600012H06Rik",258.232670390993,0.299241363774734,0.421964918171591,0.70916171200054,0.478224130481768,0.723760353320613
"1600012P17Rik",5.4397580233655,-1.82988518493264,1.13775224736548,-1.60833361495863,0.107762132301821,NA
"1600014C10Rik",612.545833871618,1.8264967731265,0.804138311735343,2.27137141269254,0.0231245034728719,0.15010955695471
"1600014K23Rik",7.44038391693863,6.10824167065844,3.39332884479816,1.80007360030023,0.0718490174849319,NA
"1600015I10Rik",0.419851946525319,-0.363701095096376,4.55545347139046,-0.0798386148339617,0.936365612137422,NA
"1600016N20Rik",46.4166462232234,3.67967940331535,1.6272436686,2.26129587984888,0.023740941206676,0.152715608247195
"1600021P15Rik",95.0224175757107,-0.802674339952953,0.382193833693979,-2.10017606039047,0.035713356450274,0.190995701490641
"1600027N09Rik",116.597129482192,-0.695596713837377,0.358144780871475,-1.94222211515907,0.0521102169499663,0.232864983569059
"1600029D21Rik",45.1546795314001,-1.13907571466512,0.480193573326103,-2.37211778319983,0.0176864516252693,0.130414102235571
"1600029I14Rik",0.997966821115027,-1.0290238157005,3.11688304986422,-0.330145147969324,0.741290290743649,NA
"1600029O15Rik",5.90364409007407,0.165110073147553,1.26983357577261,0.130024970435275,0.896546670842652,NA
"1700001C02Rik",17.7385342048539,20.1752063532328,4.0919393102844,4.93047546001618,8.20297211977884e-07,8.31606635077934e-05
"1700001C19Rik",11.6868978688166,3.62258817359437,2.21695047949173,1.63404108801966,0.102250223451097,0.32954346847021
"1700001F09Rik",4.03946818526376,5.22718893452504,4.41956170233441,1.18273921410896,0.236912517760823,NA
"1700001G17Rik",2.73452305937054,0.358475714160767,2.04324924915929,0.175443947579212,0.860730810888218,NA
"1700001J11Rik",207.305140644358,9.39281410724616,3.27727743143482,2.8660417995598,NA,NA
"1700001K19Rik",26.1337415560444,1.04225286562748,1.48575000890995,0.701499484689314,0.48299135610246,0.726969243969379
